"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (10km)"
"04/22/2024 22:52:20:862 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","(mean) total-runners-in-group","(std) total-runners-in-group","(mean) avg-group-runners-finish-time","(std) avg-group-runners-finish-time","(mean) avg-group-runners-speed","(std) avg-group-runners-speed","(mean) total-socially-suspectible-runners-in-group","(std) total-socially-suspectible-runners-in-group","(mean) socially-suspectible-group-runners-avg-finish-time","(std) socially-suspectible-group-runners-avg-finish-time","(mean) socially-suspectible-group-runners-avg-speed","(std) socially-suspectible-group-runners-avg-speed","(mean) non-socially-suspectible-group-runners-avg-finish-time","(std) non-socially-suspectible-group-runners-avg-finish-time","(mean) non-socially-suspectible-group-runners-avg-speed","(std) non-socially-suspectible-group-runners-avg-speed","(mean) total-solo-runners","(std) total-solo-runners","(mean) avg-solo-runner-finish-time","(std) avg-solo-runner-finish-time","(mean) avg-solo-runner-speed","(std) avg-solo-runner-speed","(mean) total-solo-socially-suspectible-runners","(std) total-solo-socially-suspectible-runners","(mean) socially-suspectible-solo-runners-avg-finish-time","(std) socially-suspectible-solo-runners-avg-finish-time","(mean) socially-suspectible-solo-runners-avg-speed","(std) socially-suspectible-solo-runners-avg-speed","(mean) non-socially-suspectible-solo-runners-avg-finish-time","(std) non-socially-suspectible-solo-runners-avg-finish-time","(mean) non-social-suspectible-solo-runners-avg-speed","(std) non-social-suspectible-solo-runners-avg-speed"
"50","10","20","0","dry","0","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.532000000000001","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.553","0.30476384299978876","5.4","1.3564659966250536","0","0","6.5962892857142865","0.42188467637512916","0","0","6.587414285714286","0.663535354086313"
"50","10","20","0","dry","1","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.532000000000001","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.553","0.30476384299978876","5.4","1.3564659966250536","0","0","6.5962892857142865","0.42188467637512894","0","0","6.587414285714286","0.663535354086313"
"50","10","20","0","dry","2","10","0","0","0","6.531999999999999","0.47247857094264073","4.5","1.5652475842498528","0","0","6.531999999999999","0.4724785709426408","0","0","6.531999999999999","0.4724785709426407","10","0","0","0","6.553","0.30476384299978876","5.4","1.3564659966250536","0","0","6.596489285714284","0.42193995360224135","0","0","6.587414285714286","0.663535354086313"
"50","10","20","0","dry","3","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.553","0.30476384299978876","5.4","1.3564659966250536","0","0","6.596489285714286","0.4219399536022414","0","0","6.587414285714286","0.6635353540863133"
"50","10","20","0","dry","4","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.531999999999999","0.4724785709426407","10","0","0","0","6.552999999999999","0.3047638429997888","5.4","1.3564659966250536","0","0","6.596489285714286","0.42193995360224174","0","0","6.587414285714286","0.663535354086313"
"50","10","20","0","dry","5","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.552999999999999","0.30476384299978876","5.4","1.3564659966250536","0","0","6.596489285714284","0.42193995360224124","0","0","6.587414285714286","0.663535354086313"
"50","10","20","0","dry","6","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.552999999999999","0.30476384299978876","5.4","1.3564659966250536","0","0","6.596689285714286","0.42199607667794276","0","0","6.587414285714286","0.663535354086313"
"50","10","20","0","dry","7","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.532000000000001","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.553","0.30476384299978876","5.4","1.3564659966250536","0","0","6.596689285714286","0.42199607667794264","0","0","6.587414285714286","0.663535354086313"
"50","10","20","0","dry","8","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.552999999999999","0.3047638429997888","5.4","1.3564659966250536","0","0","6.596832142857141","0.4219795211649452","0","0","6.587414285714286","0.6635353540863133"
"50","10","20","0","dry","9","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.552999999999999","0.3047638429997888","5.4","1.3564659966250536","0","0","6.596832142857141","0.42197952116494536","0","0","6.587414285714286","0.663535354086313"
"50","10","20","0","dry","10","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.47247857094264073","10","0","0","0","6.552999999999999","0.3047638429997888","5.4","1.3564659966250536","0","0","6.596832142857141","0.42197952116494514","0","0","6.587414285714286","0.6635353540863133"
"50","10","20","0","dry","11","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.552999999999999","0.3047638429997888","5.4","1.3564659966250536","0","0","6.596832142857141","0.42197952116494525","0","0","6.587414285714286","0.663535354086313"
"50","10","20","0","dry","12","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.552999999999999","0.30476384299978876","5.4","1.3564659966250536","0","0","6.596998809523809","0.42207782327628174","0","0","6.587614285714285","0.6634284892949378"
"50","10","20","0","dry","13","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.552999999999999","0.3047638429997888","5.4","1.3564659966250536","0","0","6.596998809523809","0.4220778232762814","0","0","6.587614285714286","0.6634284892949377"
"50","10","20","0","dry","14","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.531999999999999","0.47247857094264073","10","0","0","0","6.552999999999999","0.30476384299978876","5.4","1.3564659966250536","0","0","6.596998809523809","0.42207782327628157","0","0","6.587614285714285","0.6634284892949377"
"50","10","20","0","dry","15","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.47247857094264073","10","0","0","0","6.552999999999999","0.3047638429997888","5.4","1.3564659966250536","0","0","6.596998809523808","0.42207782327628174","0","0","6.587614285714285","0.6634284892949377"
"50","10","20","0","dry","16","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.531999999999999","0.47247857094264073","10","0","0","0","6.553","0.30476384299978876","5.4","1.3564659966250536","0","0","6.596998809523808","0.42207782327628135","0","0","6.587947619047618","0.6634555631070457"
"50","10","20","0","dry","17","10","0","0","0","6.531999999999999","0.47247857094264073","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.531999999999999","0.47247857094264073","10","0","0","0","6.553","0.30476384299978876","5.4","1.3564659966250536","0","0","6.596998809523809","0.4220778232762814","0","0","6.587947619047618","0.6634555631070456"
"50","10","20","0","dry","18","10","0","0","0","6.531999999999999","0.47247857094264073","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.531999999999999","0.47247857094264073","10","0","0","0","6.5569999999999995","0.30496065319972","5.4","1.3564659966250536","0","0","6.605398809523808","0.4283231827739937","0","0","6.587947619047618","0.6634555631070456"
"50","10","20","0","dry","19","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.532000000000001","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.557","0.30496065319972004","5.4","1.3564659966250536","0","0","6.605398809523808","0.42832318277399356","0","0","6.58794761904762","0.6634555631070455"
"50","10","20","0","dry","20","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.5569999999999995","0.30496065319972","5.4","1.3564659966250536","0","0","6.60539880952381","0.4283231827739937","0","0","6.588114285714286","0.6634696648095141"
"50","10","20","0","dry","21","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.532000000000001","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.5569999999999995","0.30496065319972004","5.4","1.3564659966250536","0","0","6.605398809523808","0.4283231827739936","0","0","6.588114285714286","0.6634696648095141"
"50","10","20","0","dry","22","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.532000000000001","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.5569999999999995","0.30496065319972004","5.4","1.3564659966250536","0","0","6.605398809523808","0.42832318277399345","0","0","6.588364285714286","0.6637429860115974"
"50","10","20","0","dry","23","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.532000000000001","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.5569999999999995","0.30496065319972004","5.4","1.3564659966250536","0","0","6.605398809523808","0.42832318277399356","0","0","6.588364285714286","0.6637429860115975"
"50","10","20","0","dry","24","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.532000000000001","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.5569999999999995","0.30496065319972","5.4","1.3564659966250536","0","0","6.605398809523808","0.42832318277399345","0","0","6.588364285714286","0.6637429860115974"
"50","10","20","0","dry","25","10","0","0","0","6.532000000000001","0.4724785709426407","4.5","1.5652475842498528","0","0","6.532000000000001","0.47247857094264073","0","0","6.532000000000001","0.4724785709426407","10","0","0","0","6.5569999999999995","0.30496065319972","5.4","1.3564659966250536","0","0","6.60539880952381","0.4283231827739937","0","0","6.588364285714286","0.6637429860115974"
"50","10","20","0","dry","26","9.9","0.3","0","0","6.531999999999999","0.4724785709426407","4.4","1.6852299546352716","0","0","6.531999999999999","0.47247857094264056","0","0","6.531999999999999","0.4724785709426407","10.1","0.3","0","0","6.552000000000001","0.3051163712421867","5.5","1.3601470508735443","0","0","6.591915476190477","0.42153292393968006","0","0","6.588364285714286","0.6637429860115975"
"50","10","20","0","dry","27","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.531999999999999","0.4724785709426407","10","0","0","0","6.557","0.30496065319972004","5.4","1.3564659966250536","0","0","6.605648809523809","0.42788855090652067","0","0","6.588364285714286","0.6637429860115974"
"50","10","20","0","dry","28","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.531999999999999","0.4724785709426407","10","0","0","0","6.557","0.30496065319972004","5.4","1.3564659966250536","0","0","6.605648809523809","0.42788855090652067","0","0","6.588564285714286","0.6636364710934036"
"50","10","20","0","dry","29","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.531999999999999","0.4724785709426407","10","0","0","0","6.557","0.30496065319972004","5.4","1.3564659966250536","0","0","6.605648809523809","0.42788855090652067","0","0","6.588564285714286","0.6636364710934036"
"50","10","20","0","dry","30","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.531999999999999","0.4724785709426407","10","0","0","0","6.557","0.30496065319972004","5.4","1.3564659966250536","0","0","6.605648809523809","0.42788855090652067","0","0","6.588564285714286","0.6636364710934036"
"50","10","20","0","dry","31","10","0","0","0","6.531999999999999","0.4724785709426407","4.5","1.5652475842498528","0","0","6.531999999999999","0.47247857094264073","0","0","6.531999999999999","0.4724785709426407","10","0","0","0","6.5569999999999995","0.30496065319972","5.4","1.3564659966250536","0","0","6.605648809523809","0.4278885509065205","0","0","6.588564285714286","0.6636364710934037"
