"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (21km)"
"04/27/2024 23:08:24:326 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"4","50","21","20","0","dry","10756","0","0","0","0","0","0","0","0","20","146.12","9.54","8","143.95","9.723749999999999","147.57","9.423333333333334"
"5","50","21","20","0","dry","11146","1","149.38","10.53","1","149.38","10.53","0","0","19","148","10.3","9","150.09","11.003333333333332","146.13","9.662"
"7","50","21","20","0","dry","10379","2","153.35","10.06","2","153.35","10.06","0","0","18","151.73","9.56","8","149.13","9.73125","153.81","9.423"
"8","50","21","20","0","dry","12081","0","0","0","0","0","0","0","0","20","159.05","12.53","10","157.52","13.497999999999998","160.57","11.563999999999998"
"3","50","21","20","0","dry","11026","4","156.07","10.23","4","156.07","10.225","0","0","16","151.93","10.13","5","154.16","10.518000000000002","150.92","9.96"
"9","50","21","20","0","dry","11942","3","160.73","11.5","2","160.77","11.514999999999999","160.67","11.47","17","149.2","10.79","6","157.48","11.658333333333333","144.69","10.320909090909089"
"2","50","21","20","0","dry","11750","3","147.9","11.21","1","147.98","11.29","147.86","11.165000000000001","17","142.71","10.57","12","150.36","11.273333333333333","124.37","8.892"
"6","50","21","20","0","dry","11245","3","136.62","9.27","1","136.63","9.27","136.62","9.27","17","153.47","11.12","11","149.32","11.391818181818183","161.08","10.631666666666666"
"10","50","21","20","0","dry","12806","2","161.35","12.42","1","161.38","12.47","161.32","12.37","18","158.87","15.31","13","156.68","16.421538461538464","164.57","12.408000000000003"
"1","50","21","20","0","dry","9784","6","142.12","8.4","2","142.33","8.475000000000001","142.02","8.37","14","143.95","8.63","8","147.49","8.860000000000001","139.22","8.313333333333333"
