"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and spectators (21km)"
"04/28/2024 00:27:10:704 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"4","50","21","20","50","dry","9802","0","0","0","0","0","0","0","0","20","104.27","5.13","8","91.41","4.31625","112.84","5.665"
"7","50","21","20","50","dry","10137","0","0","0","0","0","0","0","0","20","109.12","5.47","10","102.62","5.222999999999999","115.61","5.714"
"2","50","21","20","50","dry","11005","2","79.27","1.23","0","0","0","79.27","1.23","18","107.14","5.52","10","104.73","5.661","110.15","5.345"
"6","50","21","20","50","dry","11741","0","0","0","0","0","0","0","0","20","106.49","6.15","10","87.1","4.525","125.88","7.779000000000001"
"8","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","111.38","6.43","8","95.8","5.7375","121.77","6.887500000000001"
"9","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","126.76","9.12","7","95.59","5.510000000000001","143.54","11.059230769230767"
"3","50","21","20","50","dry","11719","0","0","0","0","0","0","0","0","20","101.29","5.31","11","86.61","4.335454545454545","119.24","6.503333333333334"
"5","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","126.93","8.49","12","118.11","8.024166666666666","140.17","9.191249999999998"
"10","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","103.43","6.37","17","94.16","5.341764705882353","155.97","12.2"
"11","50","21","20","50","dry","9144","0","0","0","0","0","0","0","0","20","119.73","6.36","10","96.14","4.605","143.31","8.122"
"1","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","118.93","7.2","8","113.42","6.665000000000001","122.59","7.553333333333333"
"12","50","21","20","50","dry","10198","0","0","0","0","0","0","0","0","20","108.6","5.13","10","100.16","4.643","117.04","5.6129999999999995"
"15","50","21","20","50","dry","10797","0","0","0","0","0","0","0","0","20","106.07","5.39","13","94.04","4.596153846153845","128.4","6.857142857142858"
"16","50","21","20","50","dry","12114","0","0","0","0","0","0","0","0","20","102.35","5.71","13","112.79","7.022307692307693","82.96","3.2585714285714285"
"18","50","21","20","50","dry","11095","2","88.88","2.14","0","0","0","88.88","2.14","18","108.59","5.6","11","101.3","5.219090909090909","120.06","6.197142857142858"
"14","50","21","20","50","dry","11691","0","0","0","0","0","0","0","0","20","109.92","6.35","14","89.35","4.907857142857142","157.92","9.723333333333333"
"17","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","108.75","6.22","10","97.19","5.752","120.3","6.695999999999999"
"13","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","104.28","6.17","12","83.31","4.1675","135.73","9.1775"
"19","50","21","20","50","dry","11569","0","0","0","0","0","0","0","0","20","104.2","5.45","5","37.01","0","126.6","7.265333333333334"
"20","50","21","20","50","dry","10545","0","0","0","0","0","0","0","0","20","122.46","7.16","11","90.26","4.712727272727273","161.81","10.151111111111112"
"22","50","21","20","50","dry","10791","0","0","0","0","0","0","0","0","20","124.83","7.42","8","98.58","5.47875","142.33","8.717500000000001"
"28","50","21","20","50","dry","10130","0","0","0","0","0","0","0","0","20","103.77","4.94","10","87.21","3.6309999999999993","120.32","6.252"
"24","50","21","20","50","dry","12031","0","0","0","0","0","0","0","0","20","114.09","6.49","11","97.8","5.534545454545454","134","7.668888888888889"
"21","50","21","20","50","dry","11618","0","0","0","0","0","0","0","0","20","103.55","5.64","11","90.97","4.949999999999999","118.94","6.492222222222223"
"27","50","21","20","50","dry","11687","0","0","0","0","0","0","0","0","20","120.43","7.82","8","84.27","4.3","144.54","10.167499999999999"
"23","50","21","20","50","dry","11904","2","109.23","4.2","0","0","0","109.23","4.2","18","115.65","6.78","11","110.4","6.382727272727274","123.91","7.404285714285714"
"25","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","101.6","6.35","11","70.97","3.2154545454545453","139.03","10.173333333333336"
"26","50","21","20","50","dry","12806","2","116.17","4.33","0","0","0","116.17","4.33","18","113.65","7.12","10","88.47","4.703","145.13","10.14875"
"29","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","110.37","6.72","12","104.54","6.184166666666667","119.12","7.523750000000001"
"31","50","21","20","50","dry","11843","0","0","0","0","0","0","0","0","20","109.9","5.99","10","107.45","6.389","112.35","5.599"
"30","50","21","20","50","dry","12806","2","119.2","5.48","0","0","0","119.2","5.48","18","134.56","8.74","8","141.39","9.667499999999999","129.09","8.005999999999998"
"32","50","21","20","50","dry","10659","0","0","0","0","0","0","0","0","18","106.11","5.76","9","92.91","4.866666666666665","119.32","6.652222222222222"
"36","50","21","20","50","dry","10022","0","0","0","0","0","0","0","0","20","106.52","5.04","12","86.37","3.620833333333333","136.75","7.165"
"33","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","123.62","7.94","8","122","8.663749999999999","124.71","7.457499999999997"
"35","50","21","20","50","dry","10644","0","0","0","0","0","0","0","0","20","87.88","4.36","12","72.12","2.966666666666667","111.52","6.447500000000001"
"37","50","21","20","50","dry","12406","0","0","0","0","0","0","0","0","20","118.59","7.07","8","95.53","4.975","133.96","8.471666666666668"
"38","50","21","20","50","dry","12806","1","72.3","1.2","0","0","0","72.3","1.2","19","110.1","6.65","8","86.59","4.5625","127.19","8.16"
"34","50","21","20","50","dry","10664","0","0","0","0","0","0","0","0","20","101.57","5.08","8","83.85","4.0325","113.39","5.779166666666667"
"39","50","21","20","50","dry","12806","2","92.42","1.46","0","0","0","92.42","1.46","18","126.96","7.85","8","120.39","7.03125","132.21","8.511"
"40","50","21","20","50","dry","12051","0","0","0","0","0","0","0","0","20","112.85","6.41","11","108.94","6.676363636363637","117.62","6.094444444444446"
"41","50","21","20","50","dry","12308","0","0","0","0","0","0","0","0","20","114.24","6.8","12","100.37","6.28","135.04","7.590000000000001"
"42","50","21","20","50","dry","10399","0","0","0","0","0","0","0","0","20","97.66","4.58","15","101.51","4.9526666666666666","86.1","3.4680000000000004"
"43","50","21","20","50","dry","10758","2","152.88","8.08","0","0","0","152.88","8.08","18","139.28","8.15","7","121.11","7.054285714285713","150.84","8.851818181818182"
"44","50","21","20","50","dry","11670","0","0","0","0","0","0","0","0","20","103.37","5.97","14","99.65","5.8378571428571435","112.02","6.263333333333334"
"45","50","21","20","50","dry","11951","0","0","0","0","0","0","0","0","20","105.16","5.72","12","93.63","4.756666666666666","122.46","7.1625"
"46","50","21","20","50","dry","12271","0","0","0","0","0","0","0","0","20","106.27","5.96","11","110.28","7.018181818181818","101.36","4.662222222222223"
"47","50","21","20","50","dry","10177","0","0","0","0","0","0","0","0","20","100.76","4.97","10","82.43","3.5229999999999992","119.1","6.417"
"49","50","21","20","50","dry","12028","0","0","0","0","0","0","0","0","20","102.32","5.75","13","80.13","3.889230769230769","143.51","9.205714285714286"
"50","50","21","20","50","dry","12528","0","0","0","0","0","0","0","0","20","107.84","6.24","17","115.24","7.212941176470587","65.93","0.6933333333333334"
"51","50","21","20","50","dry","12464","0","0","0","0","0","0","0","0","20","114.79","6.72","11","97.45","5.206363636363636","135.99","8.562222222222221"
"52","50","21","20","50","dry","10997","0","0","0","0","0","0","0","0","20","103.13","5.5","11","79.39","3.5818181818181816","132.15","7.847777777777778"
"48","50","21","20","50","dry","12405","0","0","0","0","0","0","0","0","20","105.74","5.86","10","102.14","5.873","109.34","5.847"
"53","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","105.94","6.25","8","85.37","4.4675","119.66","7.435"
"54","50","21","20","50","dry","10840","0","0","0","0","0","0","0","0","20","98.16","5.02","12","77.57","3.303333333333333","129.03","7.585"
"56","50","21","20","50","dry","9725","0","0","0","0","0","0","0","0","20","100.51","4.7","13","103.77","5.293076923076923","94.46","3.6071428571428568"
"55","50","21","20","50","dry","11434","0","0","0","0","0","0","0","0","20","117.33","6.6","12","105.17","6.010833333333332","135.56","7.495"
"57","50","21","20","50","dry","12128","0","0","0","0","0","0","0","0","20","112.5","6.04","10","94.91","4.5409999999999995","130.09","7.538"
"59","50","21","20","50","dry","10135","0","0","0","0","0","0","0","0","20","104.04","4.9","12","99.95","4.980833333333333","110.18","4.79"
"60","50","21","20","50","dry","11280","0","0","0","0","0","0","0","0","20","101.79","5.31","12","87.75","4.295833333333333","122.87","6.84"
"58","50","21","20","50","dry","12208","0","0","0","0","0","0","0","0","20","111.52","6.07","14","99.14","4.969999999999999","140.41","8.621666666666668"
"61","50","21","20","50","dry","12463","0","0","0","0","0","0","0","0","20","110.31","6.39","15","113.18","7.014666666666667","101.69","4.518"
"65","50","21","20","50","dry","12129","2","100.58","2.09","0","0","0","100.58","2.09","18","125.48","7.21","8","115.44","6.73125","133.51","7.585"
"62","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","105.07","6.2","10","93.66","5.201","116.48","7.195999999999999"
"64","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","106.81","6.59","10","102.36","6.1370000000000005","111.27","7.043000000000002"
"66","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","96.78","5.79","12","85.78","4.814166666666667","113.28","7.260000000000002"
"67","50","21","20","50","dry","11401","2","133.02","6.2","0","0","0","133.02","6.2","17","125.25","7.58","10","104.18","6.248","155.35","9.482857142857142"
"68","50","21","20","50","dry","11568","0","0","0","0","0","0","0","0","20","98.09","5.22","9","76.29","3.498888888888889","115.93","6.636363636363637"
"63","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","106.11","6.35","9","68.01","2.6911111111111112","137.28","9.341818181818182"
"70","50","21","20","50","dry","11219","0","0","0","0","0","0","0","0","20","104.06","5.46","11","92.47","4.731818181818181","118.23","6.3566666666666665"
"69","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","100.15","5.93","12","76.76","3.7783333333333338","135.23","9.14625"
"71","50","21","20","50","dry","11825","0","0","0","0","0","0","0","0","20","116.05","6.52","9","109.18","6.35111111111111","121.66","6.649090909090909"
"74","50","21","20","50","dry","10529","0","0","0","0","0","0","0","0","20","111.01","5.96","11","94.33","4.823636363636363","131.39","7.352222222222222"
