"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Wet weather group runners vs solo runners and no spectators (21km)"
"04/30/2024 22:39:50:309 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"9","50","21","20","0","wet","10438","5","163.82","8.19","4","163.82","8.19","163.8","8.2","15","148.06","7.59","6","149.75","7.511666666666667","146.93","7.643333333333333"
"3","50","21","20","0","wet","11024","6","149.61","7.36","4","149.62","7.36","149.61","7.364999999999999","14","156.86","8.02","9","160.29","8.084444444444445","150.69","7.902"
"12","50","21","20","0","wet","11785","6","151.62","8.33","3","151.62","8.323333333333334","151.62","8.33","14","165.21","8.85","8","159.24","8.49125","173.16","9.331666666666667"
"14","50","21","20","0","wet","11866","8","151.57","8.29","7","151.57","8.291428571428574","151.6","8.3","12","152.51","8.21","5","155.11","8.222","150.66","8.204285714285712"
"5","50","21","20","0","wet","12182","3","152.3","8.38","0","0","0","152.3","8.38","17","161.1","8.71","6","155.86","8.415000000000001","163.97","8.873636363636365"
"7","50","21","20","0","wet","12005","7","151.24","8.39","4","151.23","8.39","151.26","8.393333333333334","13","157.87","8.44","2","161.89","8.42","157.13","8.440909090909093"
"4","50","21","20","0","wet","12023","3","162.99","8.5","1","162.9","8.49","163.03","8.5","17","161.68","8.66","6","165.57","8.696666666666667","159.56","8.637272727272727"
"6","50","21","20","0","wet","12204","8","150.87","8.39","5","150.87","8.389999999999999","150.88","8.39","12","165.48","8.98","3","155.25","8.393333333333334","168.9","9.173333333333336"
"8","50","21","20","0","wet","12151","5","153.1","8.12","2","153.07","8.115","153.13","8.123333333333331","15","160.43","8.63","5","167.31","8.831999999999999","156.99","8.536000000000001"
"2","50","21","20","0","wet","12621","6","152.84","8.21","2","152.82","8.21","152.85","8.21","14","158.98","8.62","7","155.96","8.308571428571428","162.01","8.93857142857143"
"13","50","21","20","0","wet","12882","3","174.34","9.19","1","174.35","9.19","174.34","9.195","16","158.88","8.59","8","150.55","8.09875","167.21","9.077499999999999"
"11","50","21","20","0","wet","12882","5","160.01","8.49","3","160.01","8.49","160.02","8.49","15","168.48","9.18","9","172.25","9.217777777777776","162.83","9.123333333333333"
"10","50","21","20","0","wet","12940","8","157.82","8.43","4","157.79","8.42","157.85","8.43","12","159.76","8.62","8","153.25","8.181249999999999","172.79","9.51"
"1","50","21","20","0","wet","10701","7","157.77","8.03","5","157.72","8.02","157.9","8.04","13","157.58","8.16","5","153.49","7.9319999999999995","160.13","8.298750000000002"
"15","50","21","20","0","wet","11191","4","174.11","9.17","3","174.09","9.17","174.18","9.18","16","164.68","8.61","9","165.67","8.601111111111113","163.41","8.624285714285714"
"20","50","21","20","0","wet","11171","2","167.42","8.48","1","167.4","8.46","167.43","8.49","18","160.07","8.35","9","164.6","8.452222222222222","155.53","8.252222222222223"
"25","50","21","20","0","wet","10658","2","139.62","7.11","2","139.62","7.11","0","0","18","141.56","7.36","8","149","7.663750000000001","135.61","7.1080000000000005"
"18","50","21","20","0","wet","11451","8","149.81","7.45","3","149.82","7.44","149.81","7.4479999999999995","12","159.42","8.32","5","162.95","8.47","156.9","8.208571428571428"
"17","50","21","20","0","wet","11935","2","171.92","9.15","2","171.92","9.15","0","0","18","157.28","8.43","10","151.9","8.061","164.01","8.89375"
"16","50","21","20","0","wet","12924","4","157.39","8.44","1","157.35","8.44","157.4","8.446666666666665","16","156.83","8.63","4","152.12","8.182500000000001","158.4","8.780000000000001"
"26","50","21","20","0","wet","11234","3","151.21","7.86","3","151.21","7.863333333333333","0","0","17","152.79","7.98","8","153.28","7.833749999999999","152.35","8.111111111111109"
"21","50","21","20","0","wet","12145","6","151.64","8.15","3","151.64","8.15","151.65","8.153333333333332","14","162.42","8.77","4","177.18","9.2275","156.52","8.587"
"24","50","21","20","0","wet","11788","5","153.46","8.08","2","153.43","8.08","153.49","8.083333333333334","15","156.95","8.32","9","154.59","8.163333333333332","160.49","8.558333333333334"
"19","50","21","20","0","wet","12512","4","163.79","8.57","2","163.79","8.56","163.79","8.57","16","166","8.96","10","164.79","8.835","168.02","9.156666666666666"
"22","50","21","20","0","wet","13031","2","149.27","8.17","0","0","0","149.27","8.17","18","159.18","8.83","6","160.05","8.681666666666667","158.75","8.909999999999998"
"23","50","21","20","0","wet","12753","6","172.44","9.34","4","172.42","9.33","172.48","9.35","14","175.94","9.48","5","177.27","9.431999999999999","175.21","9.513333333333334"
"27","50","21","20","0","wet","12882","4","152.13","8.14","1","152.13","8.14","152.13","8.143333333333334","16","156.51","8.56","6","161.42","8.663333333333334","153.57","8.496999999999998"
"28","50","21","20","0","wet","11221","6","159.37","8.16","2","159.34","8.155","159.38","8.162500000000001","14","155.92","8.18","6","150.04","7.76","160.33","8.48875"
"32","50","21","20","0","wet","9908","2","156.45","8.26","2","156.45","8.26","0","0","18","145.21","7.55","4","120.66","6.14","152.22","7.952857142857144"
"29","50","21","20","0","wet","12882","4","164.31","9.1","2","164.31","9.095","164.32","9.1","16","163.48","8.96","11","161.22","8.746363636363638","168.46","9.43"
"36","50","21","20","0","wet","10011","3","166.48","8.24","2","166.47","8.24","166.5","8.25","17","153.26","7.82","4","154.78","7.9525","152.79","7.774615384615386"
"31","50","21","20","0","wet","11857","2","152.28","8.32","0","0","0","152.28","8.32","18","150.44","8.04","4","146.51","7.920000000000001","151.56","8.080714285714285"
"30","50","21","20","0","wet","12288","4","152.23","8.38","0","0","0","152.23","8.375","16","155.69","8.48","8","149.96","8.169999999999998","161.42","8.7875"
"33","50","21","20","0","wet","12004","4","164.41","8.53","0","0","0","164.41","8.532499999999999","16","151.72","8.11","7","152.18","7.945714285714286","151.37","8.236666666666668"
"35","50","21","20","0","wet","12106","5","160.22","8.34","5","160.22","8.34","0","0","15","158.91","8.61","4","164.83","8.6875","156.75","8.578181818181816"
"39","50","21","20","0","wet","11106","5","165.16","8.34","2","165.17","8.34","165.16","8.339999999999998","15","154.17","8.01","7","154.02","7.881428571428572","154.31","8.12375"
"34","50","21","20","0","wet","12882","2","151.21","8.19","1","151.2","8.19","151.22","8.19","18","152.82","8.35","11","158.85","8.495454545454546","143.36","8.12"
"37","50","21","20","0","wet","12218","7","175.37","9.11","3","175.33","9.106666666666666","175.39","9.1175","13","167.29","8.85","9","181.05","9.442222222222222","136.32","7.53"
"38","50","21","20","0","wet","13031","5","151.17","8.28","2","151.16","8.27","151.18","8.286666666666667","15","160.9","8.77","7","157.73","8.517142857142856","163.67","8.99375"
"40","50","21","20","0","wet","12652","1","173.33","9.1","0","0","0","173.33","9.1","19","170.71","9.19","12","170.39","9.108333333333333","171.25","9.332857142857144"
"41","50","21","20","0","wet","13031","6","152.29","8.16","4","152.28","8.16","152.32","8.165","14","162.58","8.91","9","162.31","8.745555555555557","163.06","9.196"
"42","50","21","20","0","wet","11300","6","160.25","8.19","6","160.25","8.190000000000001","0","0","14","161.06","8.37","9","160.36","8.224444444444446","162.32","8.642"
"43","50","21","20","0","wet","11965","7","171.12","9.04","5","171.12","9.04","171.13","9.045","13","157.05","8.46","8","162.59","8.5825","148.2","8.252"
"46","50","21","20","0","wet","11012","2","144.82","7.32","1","144.82","7.31","144.82","7.320000000000001","18","147.13","7.61","8","152.83","7.763750000000001","142.57","7.482999999999999"
"48","50","21","20","0","wet","11218","3","168.62","8.49","0","0","0","168.62","8.49","17","154.73","7.97","10","157.02","7.995999999999999","151.47","7.9399999999999995"
"50","50","21","20","0","wet","10701","2","157.6","8.03","1","157.6","8.03","157.6","8.03","18","154.92","8.05","10","156.59","8.097","152.83","7.98625"
