"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Wet weather group runners vs solo runners and spectators (21km)"
"05/01/2024 15:35:56:250 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"14","50","21","20","50","wet","10621","0","0","0","0","0","0","0","0","20","153.61","7.86","6","151.26","7.363333333333332","154.62","8.077142857142857"
"6","50","21","20","50","wet","10714","0","0","0","0","0","0","0","0","20","157.45","7.82","10","149.49","7.378","165.42","8.27"
"5","50","21","20","50","wet","10677","6","151.44","8.07","2","151.41","8.06","151.45","8.0675","14","156.48","8.06","7","153.16","7.805714285714286","159.8","8.317142857142859"
"2","50","21","20","50","wet","11630","3","156.29","8.33","2","156.28","8.33","156.32","8.33","17","157.93","8.06","6","165.22","8.311666666666666","153.95","7.92"
"10","50","21","20","50","wet","11647","7","149.87","7.17","6","149.86","7.173333333333332","149.88","7.179999999999999","13","157.09","7.95","6","154.83","7.691666666666666","159.03","8.169999999999998"
"3","50","21","20","50","wet","11713","0","0","0","0","0","0","0","0","20","162.4","8.22","14","166.72","8.411428571428571","152.33","7.765000000000001"
"9","50","21","20","50","wet","12002","4","172.83","8.69","3","172.8","8.58","172.92","9.03","16","171.73","8.82","7","173.77","8.685714285714285","170.15","8.915555555555555"
"1","50","21","20","50","wet","12107","3","166.87","8.29","2","166.88","8.29","166.85","8.3","17","157.53","8.13","6","162.41","8.078333333333333","154.86","8.160909090909092"
"13","50","21","20","50","wet","12577","0","0","0","0","0","0","0","0","20","155.67","8","8","153.93","7.645","156.83","8.234166666666665"
"12","50","21","20","50","wet","12623","6","151.75","8.02","5","151.75","8.014","151.77","8.03","14","158.35","8.2","7","156.35","7.718571428571429","160.34","8.677142857142856"
"4","50","21","20","50","wet","12691","3","150.45","8.3","1","150.43","8.29","150.46","8.305000000000001","17","161.36","8.68","4","167.77","8.740000000000002","159.39","8.665384615384616"
"11","50","21","20","50","wet","12804","1","164.27","8.25","1","164.27","8.25","0","0","19","165.42","8.63","8","163.77","8.265000000000002","166.62","8.902727272727272"
"8","50","21","20","50","wet","12867","2","151.54","7.52","1","151.52","7.5","151.57","7.53","18","162.11","8.34","8","159.26","7.87125","164.38","8.718"
"7","50","21","20","50","wet","12852","7","163.04","8.21","2","163.02","8.21","163.04","8.21","13","157.45","7.93","7","158.64","7.7628571428571425","156.06","8.126666666666667"
"15","50","21","20","50","wet","11942","7","151.73","7.47","5","151.73","7.468000000000001","151.73","7.47","13","150.88","7.86","4","134.62","6.84","158.1","8.313333333333333"
"18","50","21","20","50","wet","11171","6","155","8.3","2","154.88","8.28","155.06","8.3025","14","146.53","7.4","7","138.83","6.81","154.22","7.998571428571427"
"21","50","21","20","50","wet","10790","4","171.28","8.3","2","171.27","8.29","171.29","8.31","16","162.95","8.19","9","163.31","8.131111111111112","162.48","8.264285714285712"
"17","50","21","20","50","wet","12017","6","163.01","8.15","2","162.93","8.135","163.05","8.1625","14","154.6","7.83","9","153.96","7.771111111111111","155.74","7.9479999999999995"
"20","50","21","20","50","wet","11283","4","151.77","7.44","3","151.74","7.429999999999999","151.85","7.48","16","151.13","7.65","7","148.45","7.2142857142857135","153.21","7.987777777777778"
"16","50","21","20","50","wet","12585","3","145.81","7.21","1","145.8","7.21","145.82","7.21","17","157.51","7.93","11","153.41","7.516363636363637","165.04","8.694999999999999"
"19","50","21","20","50","wet","11878","1","151.85","8.03","0","0","0","151.85","8.03","19","150.94","7.88","6","148.05","7.37","152.28","8.111538461538462"
"23","50","21","20","50","wet","11572","3","151.84","7.58","3","151.84","7.58","0","0","17","148.92","7.57","10","152.3","7.515999999999999","144.09","7.640000000000001"
"28","50","21","20","50","wet","11862","3","153.97","8.27","2","153.91","8.264999999999999","154.08","8.28","17","161.61","8.44","10","162.03","8.358","161.03","8.552857142857142"
"24","50","21","20","50","wet","12029","8","151.82","8.14","5","151.82","8.138","151.83","8.14","12","164.94","8.6","3","165.25","8.313333333333333","164.83","8.698888888888888"
"22","50","21","20","50","wet","12594","9","151.29","7.46","3","151.28","7.460000000000002","151.29","7.465000000000001","11","161.18","8.21","8","158.64","8.002500000000001","167.95","8.780000000000001"
"26","50","21","20","50","wet","12175","6","150.79","8.15","2","150.77","8.14","150.8","8.1525","14","153.66","7.86","8","154.42","7.7825","152.64","7.963333333333334"
"27","50","21","20","50","wet","12479","3","161.69","8.16","3","161.69","8.156666666666668","0","0","17","167.52","8.63","11","168.24","8.518181818181818","166.21","8.833333333333334"
"25","50","21","20","50","wet","12920","2","173.48","9.35","1","173.47","9.35","173.48","9.35","18","169.1","8.84","6","156.29","7.945000000000001","175.51","9.281666666666666"
"32","50","21","20","50","wet","11148","5","164.51","8.1","3","164.48","8.143333333333333","164.56","8.035","15","154.72","7.82","9","153.46","7.726666666666668","156.62","7.95"
"30","50","21","20","50","wet","11662","5","153.43","8.16","1","153.38","8.14","153.44","8.1625","15","150.87","7.62","8","150.17","7.285","151.68","8.004285714285713"
"35","50","21","20","50","wet","11128","0","0","0","0","0","0","0","0","20","158.46","8","8","160.43","7.986250000000001","157.15","8.015833333333335"
"34","50","21","20","50","wet","11887","2","167.32","8.31","1","167.37","8.28","167.27","8.33","18","161.35","8.18","8","161.44","7.955000000000001","161.28","8.359"
"39","50","21","20","50","wet","10359","3","153.68","8.08","3","153.68","8.08","0","0","17","154.53","7.97","8","159.18","8.065000000000001","150.4","7.892222222222222"
"38","50","21","20","50","wet","10473","5","166.88","8.09","2","166.89","8.09","166.87","8.096666666666668","15","155.87","7.78","6","149.22","7.454999999999999","160.3","7.988888888888889"
"29","50","21","20","50","wet","12620","7","170.68","8.49","3","170.68","8.476666666666668","170.68","8.4925","13","179.57","9.23","7","180.55","8.957142857142857","178.41","9.551666666666668"
"31","50","21","20","50","wet","12658","4","151.01","8.13","4","151.01","8.13","0","0","16","158.64","8.4","10","153.76","8.074","166.76","8.933333333333335"
"33","50","21","20","50","wet","12913","9","147.11","7.28","5","147.09","7.28","147.12","7.29","11","175.45","9.04","6","178.2","8.909999999999998","172.15","9.190000000000001"
"36","50","21","20","50","wet","11815","3","157.96","8.39","2","157.95","8.385","157.97","8.39","17","152.87","7.77","8","148.33","7.30125","156.9","8.182222222222224"
"37","50","21","20","50","wet","11732","3","148.73","7.19","2","148.73","7.1850000000000005","148.75","7.19","17","153.54","7.74","7","161.95","7.959999999999999","147.65","7.586"
"40","50","21","20","50","wet","11712","5","151.78","7.54","2","151.78","7.535","151.78","7.539999999999998","15","151.7","7.75","9","149.29","7.515555555555554","155.33","8.098333333333334"
"42","50","21","20","50","wet","11662","7","152.13","8.15","2","152.12","8.15","152.14","8.154","13","154.84","8.08","4","161.72","8.1","151.78","8.064444444444444"
"41","50","21","20","50","wet","11936","7","168.2","8.24","3","168.24","8.23","168.17","8.255","13","179.36","9.12","7","177.91","8.882857142857144","181.06","9.406666666666666"
"43","50","21","20","50","wet","11932","2","163.24","8.1","2","163.24","8.1","0","0","18","166.18","8.3","11","161.61","7.981818181818182","173.36","8.81"
"47","50","21","20","50","wet","11297","5","151.77","7.44","2","151.77","7.429999999999999","151.78","7.443333333333334","15","154.09","7.74","7","147.58","7.162857142857144","159.78","8.25125"
"49","50","21","20","50","wet","11437","5","159","8.33","5","159","8.33","0","0","15","152.08","7.76","7","136.7","6.927142857142856","165.54","8.497499999999999"
"48","50","21","20","50","wet","11606","5","153.3","8.17","2","153.27","8.16","153.32","8.173333333333334","15","151.77","7.69","10","151.64","7.553","152.03","7.966"
"44","50","21","20","50","wet","12502","5","152.63","8.27","4","152.63","8.2675","152.65","8.27","15","156.94","8.2","8","163.2","8.445","149.77","7.912857142857143"
"51","50","21","20","50","wet","11007","3","172.33","8.37","2","172.33","8.36","172.35","8.38","17","161.46","8.13","7","155.47","7.587142857142856","165.65","8.506"
"53","50","21","20","50","wet","10570","2","151.53","7.5","2","151.53","7.504999999999999","0","0","18","153.21","7.88","6","149.21","7.395","155.21","8.116666666666667"
"45","50","21","20","50","wet","12566","4","160.45","8.18","2","160.42","8.17","160.48","8.184999999999999","16","158.72","8.01","11","158.64","7.897272727272726","158.9","8.274"
"46","50","21","20","50","wet","12341","4","173.2","9.12","0","0","0","173.2","9.1225","16","163.47","8.47","8","155.04","7.88625","171.9","9.06125"
"50","50","21","20","50","wet","12492","7","151.33","8.03","6","151.33","8.03","151.35","8.04","13","163.7","8.59","5","173.27","8.844","157.73","8.43375"
"52","50","21","20","50","wet","12462","6","149.83","8.06","4","149.82","8.0525","149.84","8.06","14","166.43","8.73","4","161.73","8.04","168.3","9.004999999999999"
"54","50","21","20","50","wet","12036","5","154.16","8.3","3","154.16","8.3","154.17","8.3","15","159.58","8.25","6","162.19","8.181666666666665","157.84","8.3"
"55","50","21","20","50","wet","12472","5","175.55","9.05","1","175.35","9.01","175.6","9.055","15","170.72","8.83","8","163.38","8.254999999999999","179.11","9.492857142857142"
"56","50","21","20","50","wet","12540","6","153.29","8.33","2","153.25","8.32","153.31","8.3325","14","158.49","8.3","7","147.27","7.58","169.71","9.011428571428574"
"59","50","21","20","50","wet","10635","3","151.72","7.5","1","151.68","7.49","151.73","7.504999999999999","17","150.03","7.63","8","144","7.268750000000001","155.38","7.953333333333332"
"58","50","21","20","50","wet","10746","4","150.06","7.51","2","150.04","7.504999999999999","150.07","7.52","16","151.46","7.74","6","154.61","7.589999999999999","149.57","7.8370000000000015"
"57","50","21","20","50","wet","11947","2","151.82","8.14","2","151.82","8.14","0","0","18","151.72","7.92","11","147.64","7.591818181818183","158.13","8.437142857142856"
"61","50","21","20","50","wet","11052","0","0","0","0","0","0","0","0","20","163.2","8.22","5","158.3","7.930000000000001","164.83","8.316666666666666"
"63","50","21","20","50","wet","11115","8","150.72","7.33","3","150.72","7.326666666666666","150.72","7.331999999999999","12","156.36","7.89","10","157.3","7.843000000000001","151.67","8.145000000000001"
"60","50","21","20","50","wet","11618","2","171.75","8.45","1","171.75","8.45","171.75","8.45","18","166.96","8.47","9","164.86","8.086666666666668","169.06","8.852222222222222"
"65","50","21","20","50","wet","11616","4","150.14","8.05","1","150.1","8.03","150.16","8.05","16","156.78","8.06","8","166.84","8.2775","146.72","7.836250000000001"
