"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (42.2km)"
"05/01/2024 20:49:19:117 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"12","50","42.2","20","0","dry","18501","0","0","0","0","0","0","0","0","20","263.27","6.18","15","259.98","6.109333333333335","273.15","6.395999999999999"
"4","50","42.2","20","0","dry","18865","0","0","0","0","0","0","0","0","20","267.11","6.25","6","275.09","6.423333333333332","263.69","6.17"
"11","50","42.2","20","0","dry","21386","0","0","0","0","0","0","0","0","20","279.8","6.56","8","275.46","6.5025","282.69","6.603333333333334"
"9","50","42.2","20","0","dry","19129","3","265.55","6.22","0","0","0","265.55","6.22","17","272.46","6.39","10","277.45","6.520000000000001","265.33","6.2142857142857135"
"5","50","42.2","20","0","dry","19447","1","306.17","7.17","0","0","0","306.17","7.17","19","284.86","6.69","9","289.46","6.775555555555555","280.73","6.613"
"13","50","42.2","20","0","dry","20842","5","271.67","6.39","3","271.71","6.389999999999999","271.63","6.38","15","278.52","6.58","10","274.85","6.523999999999999","285.87","6.702"
"14","50","42.2","20","0","dry","21518","0","0","0","0","0","0","0","0","20","274.74","6.47","10","294.37","6.941999999999999","255.12","5.989999999999999"
"10","50","42.2","20","0","dry","19876","4","260.89","6.13","3","260.9","6.13","260.85","6.13","16","270.18","6.38","7","277.28","6.5600000000000005","264.65","6.241111111111111"
"2","50","42.2","20","0","dry","20976","0","0","0","0","0","0","0","0","20","277.57","6.54","8","274.93","6.5275","279.33","6.549166666666667"
"6","50","42.2","20","0","dry","21082","3","286.69","7.05","2","286.77","7.05","286.53","7.05","17","288.96","6.9","9","293.57","6.929999999999999","283.76","6.864999999999999"
"7","50","42.2","20","0","dry","21518","1","275.47","6.47","0","0","0","275.47","6.47","19","270.29","6.35","11","274.44","6.451818181818183","264.58","6.211250000000001"
"3","50","42.2","20","0","dry","21451","1","306.32","7.19","0","0","0","306.32","7.19","19","305.26","7.14","10","311.59","7.277","298.23","6.995555555555556"
"1","50","42.2","20","0","dry","18927","6","271.17","6.36","5","271.17","6.36","271.17","6.36","14","268.88","6.31","8","263.36","6.148750000000001","276.25","6.531666666666667"
"8","50","42.2","20","0","dry","21477","9","274.34","6.44","5","274.36","6.44","274.31","6.44","11","292.69","6.9","3","293.79","6.933333333333334","292.27","6.89"
"15","50","42.2","20","0","dry","21206","2","259.88","6.11","2","259.88","6.11","0","0","18","262.67","6.16","9","269.99","6.322222222222222","255.35","5.992222222222222"
