"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (5km)"
"04/28/2024 11:23:39:814 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"4","50","5","20","0","dry","2143","10","32.08","6.53","5","32.09","6.5360000000000005","32.08","6.53","10","30.22","6.21","3","29.91","6.246666666666667","30.35","6.188571428571428"
"9","50","5","20","0","dry","2368","8","32.25","6.59","2","32.25","6.59","32.25","6.590000000000001","12","30.37","6.33","5","32.2","6.822","29.06","5.984285714285715"
"1","50","5","20","0","dry","2465","8","33.9","7.15","5","33.9","7.15","33.9","7.15","12","33.09","6.84","5","33.56","7.046000000000001","32.75","6.69"
"8","50","5","20","0","dry","2456","7","32.62","7.07","5","32.63","7.069999999999999","32.62","7.070000000000001","13","31.05","6.43","7","30.99","6.522857142857143","31.12","6.316666666666666"
"5","50","5","20","0","dry","2465","10","31.38","6.1","5","31.37","6.1","31.38","6.1","10","31.97","6.63","5","33.12","6.91","30.81","6.352"
"10","50","5","20","0","dry","2562","8","32.2","7","3","32.2","7.003333333333333","32.2","7","12","34.64","7.2","7","34.69","7.272857142857144","34.57","7.092"
"7","50","5","20","0","dry","2530","10","31.6","6.49","6","31.6","6.49","31.59","6.49","10","35.4","7.21","2","38.38","7.8100000000000005","34.65","7.05375"
"6","50","5","20","0","dry","2470","9","32.38","7.04","6","32.38","7.040000000000001","32.38","7.039999999999998","11","32.75","6.81","4","31.21","6.572500000000001","33.63","6.952857142857144"
"3","50","5","20","0","dry","2452","9","33.45","7.12","5","33.45","7.12","33.45","7.12","11","32.86","6.79","5","34.97","7.176000000000001","31.1","6.466666666666667"
"2","50","5","20","0","dry","2458","10","32.32","7.01","5","32.32","7.010000000000001","32.32","7.010000000000001","10","33.84","6.88","5","32.77","6.668000000000001","34.9","7.096000000000001"
"11","50","5","20","0","dry","2177","9","32.91","7.05","4","32.92","7.05","32.91","7.05","11","30.97","6.32","6","31.96","6.473333333333334","29.78","6.136"
"13","50","5","20","0","dry","2162","7","31.8","6.48","2","31.8","6.48","31.8","6.48","13","31.13","6.33","4","32.63","6.66","30.47","6.188888888888889"
"16","50","5","20","0","dry","2182","9","33.8","7.1","2","33.8","7.1","33.8","7.101428571428571","11","31.64","6.45","4","33.05","6.765","30.84","6.274285714285715"
"15","50","5","20","0","dry","2190","10","31.87","6.49","4","31.87","6.49","31.87","6.49","10","30.56","6.16","6","30.41","6.086666666666667","30.79","6.27"
"12","50","5","20","0","dry","2448","9","31.92","6.54","3","31.93","6.539999999999998","31.92","6.540000000000001","11","32.75","6.82","4","32.27","6.812499999999999","33.02","6.831428571428571"
"14","50","5","20","0","dry","2390","10","30.92","6.32","1","30.92","6.320000000000001","30.92","6.320000000000001","10","33.88","6.86","4","33.41","6.795","34.19","6.903333333333334"
"17","50","5","20","0","dry","2379","8","31.28","6.1","2","31.28","6.1","31.28","6.1","12","32.95","6.7","7","33.55","6.830000000000001","32.09","6.508"
"19","50","5","20","0","dry","2428","8","30.48","6.24","6","30.48","6.241666666666666","30.48","6.24","12","29.78","6.14","8","29.97","6.19375","29.4","6.032500000000001"
"18","50","5","20","0","dry","2465","7","30.32","6.21","3","30.32","6.210000000000002","30.32","6.21","13","32.89","6.81","7","34.55","7.14","30.95","6.420000000000001"
"20","50","5","20","0","dry","2453","9","32.33","7.02","4","32.33","7.022499999999999","32.33","7.02","11","32.84","6.79","7","31.7","6.575714285714286","34.83","7.175"
"21","50","5","20","0","dry","2165","8","35.69","7.25","2","35.68","7.25","35.69","7.25","12","31.91","6.49","5","31.62","6.432","32.12","6.525714285714286"
"22","50","5","20","0","dry","2380","9","30.93","6.15","4","30.93","6.15","30.93","6.15","11","31.43","6.52","7","31.07","6.444285714285714","32.06","6.64"
"24","50","5","20","0","dry","2173","8","30.32","6.17","4","30.32","6.17","30.32","6.17","12","31.43","6.43","4","32.37","6.722499999999999","30.96","6.27875"
"23","50","5","20","0","dry","2484","9","32.02","6.56","4","32.02","6.5600000000000005","32.02","6.5600000000000005","11","33.69","6.92","6","31.25","6.423333333333334","36.62","7.522"
"25","50","5","20","0","dry","2450","9","32.43","7.04","5","32.43","7.04","32.43","7.04","11","33.28","6.99","5","32.97","7.1320000000000014","33.54","6.866666666666666"
"29","50","5","20","0","dry","2216","9","30.73","6.26","3","30.73","6.26","30.73","6.26","11","32.08","6.58","9","31.55","6.463333333333333","34.48","7.129999999999999"
"26","50","5","20","0","dry","2443","10","32.07","6.57","8","32.07","6.570000000000001","32.07","6.570000000000001","10","30.82","6.32","4","28.93","6.045","32.09","6.51"
"27","50","5","20","0","dry","2470","9","30.75","6.3","5","30.75","6.3","30.75","6.3","11","33.5","6.87","3","34.6","7.213333333333334","33.08","6.742499999999999"
"28","50","5","20","0","dry","2521","9","32.4","7.04","6","32.4","7.045","32.4","7.039999999999998","11","33.25","6.96","8","32.81","6.90625","34.43","7.096666666666667"
