"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and spectators (21km)"
"04/28/2024 10:19:29:896 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"6","50","21","20","50","dry","10327","0","0","0","0","0","0","0","0","18","101.34","4.76","8","92.98","4.365","108.02","5.081999999999999"
"8","50","21","20","50","dry","10641","0","0","0","0","0","0","0","0","20","98.53","4.33","13","103.91","4.972307692307692","88.54","3.1242857142857146"
"5","50","21","20","50","dry","10669","0","0","0","0","0","0","0","0","20","99.92","4.68","9","101.73","5.136666666666668","98.44","4.30090909090909"
"4","50","21","20","50","dry","11172","0","0","0","0","0","0","0","0","20","99.85","5.09","11","88.4","3.9281818181818173","113.85","6.517777777777778"
"3","50","21","20","50","dry","11857","1","40.75","0.1","1","40.75","0.1","0","0","19","99.75","5.51","7","87.17","4.514285714285713","107.09","6.090833333333333"
"2","50","21","20","50","dry","11758","0","0","0","0","0","0","0","0","20","103.61","5.59","9","79.29","3.5699999999999994","123.51","7.238181818181817"
"7","50","21","20","50","dry","11929","0","0","0","0","0","0","0","0","20","108.83","5.48","9","117.16","6.3422222222222215","102.02","4.776363636363636"
"9","50","21","20","50","dry","12677","0","0","0","0","0","0","0","0","20","98.77","5.62","10","90.01","5.1129999999999995","107.54","6.127"
"10","50","21","20","50","dry","12551","2","108.35","0.5","0","0","0","108.35","0.495","18","105.46","6.18","9","99.99","5.624444444444444","110.92","6.742222222222223"
"1","50","21","20","50","dry","12806","0","0","0","0","0","0","0","0","20","105.59","6.16","7","97.11","5.32142857142857","110.15","6.609230769230769"
"13","50","21","20","50","dry","9997","0","0","0","0","0","0","0","0","20","95.06","4.28","11","89.28","3.872727272727272","102.14","4.773333333333334"
"12","50","21","20","50","dry","10272","0","0","0","0","0","0","0","0","20","100.29","4.53","13","93.76","4.074615384615384","112.41","5.364285714285714"
"16","50","21","20","50","dry","11447","0","0","0","0","0","0","0","0","20","98.45","5.17","12","88.65","4.269166666666665","113.15","6.51625"
"14","50","21","20","50","dry","12016","0","0","0","0","0","0","0","0","20","104.3","5.57","11","121.85","7.49","82.85","3.212222222222223"
"19","50","21","20","50","dry","10293","0","0","0","0","0","0","0","0","20","102.03","4.66","11","103.93","5.086363636363637","99.69","4.142222222222222"
"11","50","21","20","50","dry","12466","0","0","0","0","0","0","0","0","20","106.29","5.58","10","88.63","4.101999999999999","123.95","7.066000000000001"
