"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and spectators (42.2km)"
"04/28/2024 12:37:22:682 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"9","50","42.2","20","50","dry","18395","0","0","0","0","0","0","0","0","20","255.25","5.85","10","260.19","5.765","250.31","5.934000000000001"
"2","50","42.2","20","50","dry","18631","0","0","0","0","0","0","0","0","20","262.85","6.06","7","275.4","6.354285714285714","256.08","5.899230769230769"
"14","50","42.2","20","50","dry","19091","2","265","6.16","0","0","0","265","6.155","18","265.83","6.2","6","271.68","6.355","262.9","6.123333333333332"
"13","50","42.2","20","50","dry","18663","3","264.86","6.27","2","264.86","6.275","264.85","6.27","17","259.41","6.14","11","258.31","6.141818181818181","261.43","6.128333333333334"
"10","50","42.2","20","50","dry","20609","0","0","0","0","0","0","0","0","20","271.38","6.42","8","273.53","6.5125","269.94","6.359166666666667"
"8","50","42.2","20","50","dry","21162","0","0","0","0","0","0","0","0","20","277.36","6.64","6","252.64","6.029999999999999","287.96","6.897857142857143"
"3","50","42.2","20","50","dry","21824","0","0","0","0","0","0","0","0","20","299.26","7.08","6","276.38","6.456666666666668","309.07","7.342142857142858"
"6","50","42.2","20","50","dry","21295","0","0","0","0","0","0","0","0","20","286.79","6.72","11","296.01","6.907272727272727","275.52","6.48"
"5","50","42.2","20","50","dry","21362","3","276.84","6.28","3","276.84","6.28","0","0","17","275.87","6.14","10","275.98","6.044","275.71","6.285714285714284"
"12","50","42.2","20","50","dry","21295","4","305.5","7.18","3","305.51","7.176666666666666","305.5","7.17","16","297.24","6.9","8","288.88","6.705000000000001","305.61","7.09125"
"11","50","42.2","20","50","dry","21171","4","265.45","6.11","1","265.45","6.11","265.45","6.110000000000001","16","274.66","6.25","9","276.45","6.2222222222222205","272.35","6.2871428571428565"
"7","50","42.2","20","50","dry","22581","0","0","0","0","0","0","0","0","20","290.83","6.99","10","298.42","7.265999999999999","283.25","6.707999999999999"
"1","50","42.2","20","50","dry","21517","4","262.73","6.05","4","262.73","6.05","0","0","16","275.83","6.39","10","265.56","6.117000000000001","292.93","6.8500000000000005"
"4","50","42.2","20","50","dry","19476","0","0","0","0","0","0","0","0","20","267.58","6.33","12","263.46","6.2283333333333335","273.76","6.492500000000001"
"15","50","42.2","20","50","dry","19282","2","278.79","7.08","2","278.79","7.08","0","0","18","274.12","6.83","5","271.54","6.908","275.11","6.7930769230769235"
"18","50","42.2","20","50","dry","18444","1","277.8","6.53","1","277.8","6.53","0","0","19","271.91","6.43","12","280.91","6.641666666666667","256.47","6.074285714285716"
"16","50","42.2","20","50","dry","18635","5","273.94","6.41","0","0","0","273.94","6.414","15","271.31","6.37","10","272.14","6.382000000000001","269.64","6.3420000000000005"
