"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Wet weather group runners vs solo runners and no spectators (42.2km)"
"05/01/2024 00:32:53:454 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"2","50","42.2","20","0","wet","25987","0","0","0","0","0","0","0","0","20","336.11","17.19","11","336.51","15.424545454545454","335.63","19.35111111111111"
"10","50","42.2","20","0","wet","31127","2","353.63","39.73","1","353.7","38.45","353.57","41.01","14","360.86","76.67","12","360.19","36.08333333333334","364.88","320.18000000000006"
"9","50","42.2","20","0","wet","31127","0","0","0","0","0","0","0","0","18","372.46","58.5","12","369.2","38.08166666666667","379","99.34333333333335"
"3","50","42.2","20","0","wet","31127","0","0","0","0","0","0","0","0","13","340.69","204.88","8","326.48","34.24375","363.42","477.89399999999995"
"12","50","42.2","20","0","wet","31127","3","346.76","36.09","2","346.7","36.035","346.87","36.21","13","354.21","45.43","10","355.16","35.561","351.03","78.34666666666666"
"1","50","42.2","20","0","wet","31127","3","318.23","31.17","3","318.23","31.17","0","0","10","314.23","36.82","9","313.38","31.893333333333327","321.87","81.12000000000002"
"14","50","42.2","20","0","wet","32043","1","366.08","57.17","1","366.08","57.17","0","0","12","389.99","410.52","8","396.64","48.12","376.7","1135.3275"
"4","50","42.2","20","0","wet","33529","2","408.13","141.81","1","407.92","136.14","408.35","147.48","15","423.49","88.24","15","423.49","88.23800000000001","0","0"
"6","50","42.2","20","0","wet","36714","0","0","0","0","0","0","0","0","2","369.45","696.18","2","369.45","696.175","0","0"
"11","50","42.2","20","0","wet","37163","0","0","0","0","0","0","0","0","5","381.73","924.7","5","381.73","924.7019999999999","0","0"
"5","50","42.2","20","0","wet","38406","0","0","0","0","0","0","0","0","3","390.1","30993.91","3","390.1","30993.906666666662","0","0"
"8","50","42.2","20","0","wet","36658","0","0","0","0","0","0","0","0","3","355.73","737.53","3","355.73","737.5266666666666","0","0"
"7","50","42.2","20","0","wet","41640","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","50","42.2","20","0","wet","39799","0","0","0","0","0","0","0","0","3","410.64","482.88","3","410.64","482.8766666666667","0","0"
"15","50","42.2","20","0","wet","27617","2","346.14","19.33","1","345.78","19.09","346.5","19.58","18","356.06","22.14","12","347.15","18.865833333333335","373.9","28.686666666666667"
"26","50","42.2","20","0","wet","26466","0","0","0","0","0","0","0","0","20","380.86","21.03","9","352.6","16.957777777777775","403.99","24.36272727272727"
"19","50","42.2","20","0","wet","30810","0","0","0","0","0","0","0","0","20","367.91","146.5","8","380.15","34.98375000000001","359.74","220.8441666666667"
"16","50","42.2","20","0","wet","31127","0","0","0","0","0","0","0","0","17","359.26","107.68","10","354.08","35.763999999999996","366.66","210.42285714285714"
"27","50","42.2","20","0","wet","27264","0","0","0","0","0","0","0","0","20","344.15","22.94","7","329.12","17.860000000000003","352.24","25.67615384615385"
"21","50","42.2","20","0","wet","31127","0","0","0","0","0","0","0","0","15","344.03","51.99","10","340.31","36.044999999999995","351.46","83.86999999999999"
"20","50","42.2","20","0","wet","31127","2","387.92","37.23","2","387.92","37.230000000000004","0","0","13","401.77","41.91","12","402.01","38.21","398.97","86.37000000000002"
"18","50","42.2","20","0","wet","33952","0","0","0","0","0","0","0","0","12","396.69","269.52","11","397.7","93.73818181818181","385.57","2203.15"
"22","50","42.2","20","0","wet","31127","3","372.47","36.13","3","372.47","36.126666666666665","0","0","14","383.88","39.75","12","384.5","37.02916666666667","380.12","56.095"
"17","50","42.2","20","0","wet","36997","0","0","0","0","0","0","0","0","9","400.87","214.15","9","400.87","214.14777777777778","0","0"
"24","50","42.2","20","0","wet","31127","0","0","0","0","0","0","0","0","13","386.26","67.15","8","378.05","37.44500000000001","399.4","114.686"
"28","50","42.2","20","0","wet","31127","0","0","0","0","0","0","0","0","14","379.51","59.12","11","379.97","38.36545454545455","377.82","135.23"
