"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"SocialDynamics.nlogo"
"Wet weather group runners vs solo runners and spectators (42.2km)"
"04/29/2024 20:40:30:111 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","total-runners-in-group","avg-group-runners-finish-time","avg-group-runners-speed","total-socially-suspectible-runners-in-group","socially-suspectible-group-runners-avg-finish-time","socially-suspectible-group-runners-avg-speed","non-socially-suspectible-group-runners-avg-finish-time","non-socially-suspectible-group-runners-avg-speed","total-solo-runners","avg-solo-runner-finish-time","avg-solo-runner-speed","total-solo-socially-suspectible-runners","socially-suspectible-solo-runners-avg-finish-time","socially-suspectible-solo-runners-avg-speed","non-socially-suspectible-solo-runners-avg-finish-time","non-social-suspectible-solo-runners-avg-speed"
"11","50","42.2","20","50","wet","26337","0","0","0","0","0","0","0","0","20","340.81","13.12","10","338.17","10.59","343.45","15.645999999999999"
"6","50","42.2","20","50","wet","26816","0","0","0","0","0","0","0","0","20","369.56","14.62","14","371.07","13.147857142857143","366.04","18.048333333333336"
"7","50","42.2","20","50","wet","27043","1","390.4","13.53","0","0","0","390.4","13.53","19","366.55","13.42","11","359.75","10.958181818181819","375.9","16.80125"
"4","50","42.2","20","50","wet","27585","0","0","0","0","0","0","0","0","20","384.42","17.3","11","377.43","13.845454545454546","392.96","21.528888888888886"
"1","50","42.2","20","50","wet","29735","0","0","0","0","0","0","0","0","20","403.73","25.73","8","406.1","16.118750000000002","402.14","32.14"
"9","50","42.2","20","50","wet","30213","0","0","0","0","0","0","0","0","20","362.29","19.65","13","364.71","13.896923076923079","357.78","30.334285714285713"
"5","50","42.2","20","50","wet","31308","0","0","0","0","0","0","0","0","20","349.04","16.13","11","333.2","10.206363636363637","368.39","23.362222222222222"
"12","50","42.2","20","50","wet","33402","0","0","0","0","0","0","0","0","18","353.02","34.09","10","346.21","13.776000000000002","361.55","59.480000000000004"
"2","50","42.2","20","50","wet","33588","0","0","0","0","0","0","0","0","19","371.13","102.29","6","374.23","15.881666666666666","369.7","142.1646153846154"
"13","50","42.2","20","50","wet","33822","0","0","0","0","0","0","0","0","19","337.88","39.32","12","339.17","12.023333333333333","335.67","86.11857142857143"
"8","50","42.2","20","50","wet","34214","0","0","0","0","0","0","0","0","19","316.01","33.41","7","311.97","9.735714285714286","318.36","47.22749999999999"
"10","50","42.2","20","50","wet","34654","0","0","0","0","0","0","0","0","18","343.29","55.28","5","347.5","11.379999999999999","341.68","72.16461538461539"
"14","50","42.2","20","50","wet","34962","1","357.35","18.26","1","357.35","18.26","0","0","18","363.47","27.19","13","361.71","11.888461538461538","368.07","66.984"
"3","50","42.2","20","50","wet","26323","1","351.12","11.26","1","351.12","11.26","0","0","19","354.83","13.15","9","350.26","10.58222222222222","358.95","15.469"
"19","50","42.2","20","50","wet","23254","0","0","0","0","0","0","0","0","20","344.48","10.62","12","327.67","9.168333333333333","369.69","12.791249999999998"
"17","50","42.2","20","50","wet","25580","0","0","0","0","0","0","0","0","20","324.29","11.66","9","307.97","8.796666666666669","337.63","13.998181818181818"
"15","50","42.2","20","50","wet","31328","0","0","0","0","0","0","0","0","20","373.66","19.19","12","334.61","10.302499999999998","432.23","32.52"
"26","50","42.2","20","50","wet","23105","1","307.38","10.25","0","0","0","307.38","10.25","19","316.93","10.1","9","319.23","9.000000000000002","314.87","11.081999999999997"
"22","50","42.2","20","50","wet","26343","0","0","0","0","0","0","0","0","20","347.51","12.96","12","346.27","10.803333333333335","349.36","16.20625"
"20","50","42.2","20","50","wet","29296","0","0","0","0","0","0","0","0","20","350.01","16.15","13","339.32","11.710769230769227","369.85","24.385714285714286"
"18","50","42.2","20","50","wet","32961","0","0","0","0","0","0","0","0","19","361.43","40.52","9","361.23","16.078888888888894","361.61","62.523"
"24","50","42.2","20","50","wet","27211","0","0","0","0","0","0","0","0","20","362.25","14.59","8","346.54","10.42375","372.73","17.37333333333333"
"25","50","42.2","20","50","wet","27314","0","0","0","0","0","0","0","0","20","344.79","14.32","7","326.59","9.925714285714287","354.6","16.69153846153846"
"16","50","42.2","20","50","wet","35929","0","0","0","0","0","0","0","0","19","332.11","18.06","13","335.04","9.245384615384614","325.77","37.156666666666666"
"27","50","42.2","20","50","wet","28260","0","0","0","0","0","0","0","0","20","345.04","13.93","10","342.41","10.495000000000001","347.66","17.365000000000002"
"21","50","42.2","20","50","wet","34973","1","311.58","15.49","1","311.58","15.49","0","0","18","320.05","28.49","9","314.83","9.368888888888888","325.28","47.60444444444444"
"23","50","42.2","20","50","wet","34187","2","303.4","16.9","1","303.13","16.42","303.67","17.37","14","319.53","44.29","6","302.51","9.58","332.29","70.3225"
"29","50","42.2","20","50","wet","25655","2","326.41","11.27","2","326.41","11.27","0","0","18","336.4","12.14","10","314.95","9.770999999999999","363.21","15.110000000000003"
"30","50","42.2","20","50","wet","26385","0","0","0","0","0","0","0","0","20","351.21","13.65","11","345.28","11.143636363636363","358.45","16.72"
"32","50","42.2","20","50","wet","23625","0","0","0","0","0","0","0","0","20","352.04","11.3","11","353.99","10.222727272727273","349.66","12.624444444444444"
"33","50","42.2","20","50","wet","23310","4","367.83","11.31","3","367.15","11.27","369.85","11.41","16","348.48","11.03","10","337.85","9.726999999999999","366.21","13.191666666666666"
"31","50","42.2","20","50","wet","28229","3","352.13","12.51","1","351.22","12.05","352.58","12.745000000000001","17","371.09","13.53","10","371.2","10.955","370.95","17.19714285714286"
"38","50","42.2","20","50","wet","23537","0","0","0","0","0","0","0","0","20","340.8","10.19","13","342.25","9.466153846153846","338.12","11.544285714285712"
"34","50","42.2","20","50","wet","29985","0","0","0","0","0","0","0","0","20","359.14","19.81","10","339.13","11.246","379.15","28.365000000000002"
"36","50","42.2","20","50","wet","29898","0","0","0","0","0","0","0","0","20","342.36","15.84","13","334.19","11.426923076923078","357.53","24.025714285714287"
"40","50","42.2","20","50","wet","25049","1","327.27","9.49","1","327.27","9.49","0","0","19","342.9","11.45","8","340.94","9.195","344.33","13.092727272727272"
"35","50","42.2","20","50","wet","32028","0","0","0","0","0","0","0","0","20","367.45","22.9","11","355.32","12.12090909090909","382.29","36.08333333333334"
"39","50","42.2","20","50","wet","29043","4","338.38","14.37","2","337.99","14.33","338.78","14.405","16","366.37","17.3","9","366.03","12.66777777777778","366.8","23.25285714285714"
"37","50","42.2","20","50","wet","33393","0","0","0","0","0","0","0","0","18","341.33","31.07","13","333.57","12.64923076923077","361.52","78.954"
