"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (5km) (copy)"
"04/27/2024 22:04:15:083 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","(mean) total-runners-in-group","(std) total-runners-in-group","(mean) avg-group-runners-finish-time","(std) avg-group-runners-finish-time","(mean) avg-group-runners-speed","(std) avg-group-runners-speed","(mean) total-socially-suspectible-runners-in-group","(std) total-socially-suspectible-runners-in-group","(mean) socially-suspectible-group-runners-avg-finish-time","(std) socially-suspectible-group-runners-avg-finish-time","(mean) socially-suspectible-group-runners-avg-speed","(std) socially-suspectible-group-runners-avg-speed","(mean) non-socially-suspectible-group-runners-avg-finish-time","(std) non-socially-suspectible-group-runners-avg-finish-time","(mean) non-socially-suspectible-group-runners-avg-speed","(std) non-socially-suspectible-group-runners-avg-speed","(mean) total-solo-runners","(std) total-solo-runners","(mean) avg-solo-runner-finish-time","(std) avg-solo-runner-finish-time","(mean) avg-solo-runner-speed","(std) avg-solo-runner-speed","(mean) total-solo-socially-suspectible-runners","(std) total-solo-socially-suspectible-runners","(mean) socially-suspectible-solo-runners-avg-finish-time","(std) socially-suspectible-solo-runners-avg-finish-time","(mean) socially-suspectible-solo-runners-avg-speed","(std) socially-suspectible-solo-runners-avg-speed","(mean) non-socially-suspectible-solo-runners-avg-finish-time","(std) non-socially-suspectible-solo-runners-avg-finish-time","(mean) non-social-suspectible-solo-runners-avg-speed","(std) non-social-suspectible-solo-runners-avg-speed"
"50","10","20","0","dry","4307","8","N/A","62.06","N/A","6.41","N/A","3","N/A","62.07","N/A","6.410000000000001","N/A","62.06","N/A","6.41","N/A","12","N/A","59.29","N/A","6.19","N/A","7","N/A","59.94","N/A","6.281428571428571","N/A","58.38","N/A","6.064000000000001","N/A"
"50","10","20","0","dry","4319","7","N/A","61.69","N/A","6.54","N/A","6","N/A","61.69","N/A","6.536666666666667","N/A","61.68","N/A","6.53","N/A","13","N/A","62.72","N/A","6.67","N/A","5","N/A","63.95","N/A","6.78","N/A","61.96","N/A","6.5975","N/A"
"50","10","20","0","dry","4335","9","N/A","72.19","N/A","7.34","N/A","5","N/A","72.19","N/A","7.35","N/A","72.18","N/A","7.33","N/A","11","N/A","65.34","N/A","6.73","N/A","4","N/A","67.43","N/A","7.005","N/A","64.15","N/A","6.565714285714285","N/A"
"50","10","20","0","dry","4344","7","N/A","62.14","N/A","6.31","N/A","4","N/A","62.14","N/A","6.3149999999999995","N/A","62.13","N/A","6.31","N/A","13","N/A","59.69","N/A","6.38","N/A","4","N/A","56.28","N/A","6.2025","N/A","61.21","N/A","6.453333333333334","N/A"
"50","10","20","0","dry","4349","6","N/A","69.39","N/A","7.03","N/A","5","N/A","69.39","N/A","7.031999999999999","N/A","69.38","N/A","7.03","N/A","14","N/A","63.24","N/A","6.65","N/A","8","N/A","66.21","N/A","6.996250000000001","N/A","59.27","N/A","6.191666666666666","N/A"
"50","10","20","0","dry","4350","9","N/A","72.4","N/A","7.51","N/A","4","N/A","72.41","N/A","7.52","N/A","72.4","N/A","7.510000000000001","N/A","11","N/A","59.92","N/A","6.34","N/A","3","N/A","58.54","N/A","5.92","N/A","60.43","N/A","6.50375","N/A"
"50","10","20","0","dry","4353","6","N/A","66.46","N/A","7.24","N/A","1","N/A","66.47","N/A","7.24","N/A","66.46","N/A","7.242000000000002","N/A","14","N/A","65.36","N/A","6.99","N/A","5","N/A","64.1","N/A","6.930000000000001","N/A","66.06","N/A","7.025555555555555","N/A"
"50","10","20","0","dry","4354","5","N/A","69.58","N/A","7.07","N/A","2","N/A","69.55","N/A","7.085","N/A","69.59","N/A","7.06","N/A","15","N/A","64.93","N/A","6.75","N/A","13","N/A","64.09","N/A","6.6876923076923065","N/A","70.41","N/A","7.129999999999999","N/A"
"50","10","20","0","dry","4356","6","N/A","65.86","N/A","7.24","N/A","3","N/A","65.87","N/A","7.246666666666667","N/A","65.85","N/A","7.24","N/A","14","N/A","63.55","N/A","6.76","N/A","9","N/A","64.67","N/A","6.922222222222222","N/A","61.54","N/A","6.456","N/A"
"50","10","20","0","dry","4419","6","N/A","67.79","N/A","7.36","N/A","4","N/A","67.79","N/A","7.365","N/A","67.78","N/A","7.36","N/A","14","N/A","67.63","N/A","7.13","N/A","7","N/A","66.58","N/A","6.9157142857142855","N/A","68.68","N/A","7.348571428571429","N/A"
"50","10","20","0","dry","4487","9","N/A","67.72","N/A","7.37","N/A","7","N/A","67.73","N/A","7.37142857142857","N/A","67.7","N/A","7.37","N/A","11","N/A","61.92","N/A","6.58","N/A","3","N/A","55.14","N/A","5.77","N/A","64.46","N/A","6.885000000000001","N/A"
"50","10","20","0","dry","4495","5","N/A","70.55","N/A","7.12","N/A","2","N/A","70.53","N/A","7.135000000000001","N/A","70.56","N/A","7.113333333333333","N/A","15","N/A","64.51","N/A","6.87","N/A","6","N/A","67.64","N/A","7.133333333333335","N/A","62.42","N/A","6.696666666666667","N/A"
"50","10","20","0","dry","4513","6","N/A","71.95","N/A","7.3","N/A","1","N/A","71.95","N/A","7.3","N/A","71.95","N/A","7.3","N/A","14","N/A","66.58","N/A","6.94","N/A","11","N/A","67.58","N/A","7.046363636363637","N/A","62.89","N/A","6.563333333333333","N/A"
"50","10","20","0","dry","4587","9","N/A","62.1","N/A","6.39","N/A","3","N/A","62.11","N/A","6.393333333333333","N/A","62.1","N/A","6.390000000000001","N/A","11","N/A","64.13","N/A","6.75","N/A","4","N/A","58.57","N/A","6.215","N/A","67.31","N/A","7.051428571428572","N/A"
"50","10","20","0","dry","4613","4","N/A","63.26","N/A","7.12","N/A","2","N/A","63.27","N/A","7.12","N/A","63.25","N/A","7.12","N/A","16","N/A","62.62","N/A","6.85","N/A","8","N/A","65.48","N/A","7.0287500000000005","N/A","59.76","N/A","6.662499999999999","N/A"
"50","10","20","0","dry","4653","7","N/A","71.91","N/A","7.35","N/A","5","N/A","71.91","N/A","7.348","N/A","71.91","N/A","7.34","N/A","13","N/A","69.27","N/A","7.28","N/A","5","N/A","69.43","N/A","7.207999999999998","N/A","69.17","N/A","7.325000000000001","N/A"
"50","10","20","0","dry","4665","8","N/A","62.09","N/A","6.47","N/A","4","N/A","62.09","N/A","6.47","N/A","62.09","N/A","6.47","N/A","12","N/A","64.99","N/A","6.88","N/A","5","N/A","69.36","N/A","7.433999999999999","N/A","61.87","N/A","6.477142857142857","N/A"
"50","10","20","0","dry","4671","6","N/A","63.44","N/A","7.15","N/A","2","N/A","63.46","N/A","7.155","N/A","63.43","N/A","7.15","N/A","14","N/A","64.54","N/A","7.07","N/A","9","N/A","65.23","N/A","7.1177777777777775","N/A","63.29","N/A","6.996","N/A"
"50","10","20","0","dry","4674","8","N/A","62.05","N/A","6.25","N/A","6","N/A","62.05","N/A","6.253333333333333","N/A","62.05","N/A","6.25","N/A","12","N/A","61.75","N/A","6.64","N/A","5","N/A","62.43","N/A","6.864","N/A","61.27","N/A","6.487142857142857","N/A"
"50","10","20","0","dry","4686","6","N/A","62.79","N/A","7.13","N/A","3","N/A","62.79","N/A","7.13","N/A","62.78","N/A","7.123333333333334","N/A","14","N/A","64.05","N/A","6.92","N/A","10","N/A","62.8","N/A","6.821000000000001","N/A","67.17","N/A","7.182499999999999","N/A"
"50","10","20","0","dry","4699","7","N/A","64.52","N/A","7.22","N/A","3","N/A","64.54","N/A","7.223333333333334","N/A","64.5","N/A","7.212500000000001","N/A","13","N/A","65.38","N/A","7","N/A","5","N/A","66.02","N/A","7.231999999999999","N/A","64.99","N/A","6.8575","N/A"
"50","10","20","0","dry","4704","8","N/A","66.24","N/A","7.32","N/A","4","N/A","66.25","N/A","7.325000000000001","N/A","66.23","N/A","7.320000000000001","N/A","12","N/A","66.25","N/A","7.21","N/A","5","N/A","65.47","N/A","7.1339999999999995","N/A","66.81","N/A","7.265714285714286","N/A"
"50","10","20","0","dry","4705","7","N/A","68.69","N/A","7.16","N/A","4","N/A","68.71","N/A","7.195000000000001","N/A","68.66","N/A","7.123333333333334","N/A","13","N/A","68.14","N/A","7.2","N/A","5","N/A","68.7","N/A","7.258","N/A","67.79","N/A","7.157499999999999","N/A"
"50","10","20","0","dry","4724","5","N/A","54.17","N/A","6.21","N/A","1","N/A","54.17","N/A","6.21","N/A","54.17","N/A","6.21","N/A","15","N/A","64.12","N/A","7.02","N/A","10","N/A","63.99","N/A","7.076000000000001","N/A","64.4","N/A","6.894","N/A"
"50","10","20","0","dry","4740","7","N/A","62.17","N/A","7.05","N/A","3","N/A","62.17","N/A","7.05","N/A","62.17","N/A","7.0475","N/A","13","N/A","64.85","N/A","7.08","N/A","6","N/A","69.19","N/A","7.666666666666667","N/A","61.13","N/A","6.578571428571428","N/A"
"50","10","20","0","dry","4741","5","N/A","71.54","N/A","7.24","N/A","3","N/A","71.54","N/A","7.24","N/A","71.53","N/A","7.24","N/A","15","N/A","68.79","N/A","7.24","N/A","6","N/A","72.57","N/A","7.685","N/A","66.26","N/A","6.944444444444444","N/A"
"50","10","20","0","dry","4758","7","N/A","62.14","N/A","6.39","N/A","4","N/A","62.14","N/A","6.3950000000000005","N/A","62.13","N/A","6.386666666666667","N/A","13","N/A","66.29","N/A","7.08","N/A","6","N/A","73.44","N/A","7.886666666666668","N/A","60.15","N/A","6.394285714285715","N/A"
"50","10","20","0","dry","4764","7","N/A","72.45","N/A","8.09","N/A","2","N/A","72.48","N/A","8.1","N/A","72.43","N/A","8.09","N/A","13","N/A","71.35","N/A","7.73","N/A","7","N/A","72.93","N/A","7.888571428571429","N/A","69.52","N/A","7.543333333333333","N/A"
"50","10","20","0","dry","4798","7","N/A","70.92","N/A","7.21","N/A","5","N/A","70.92","N/A","7.21","N/A","70.92","N/A","7.21","N/A","13","N/A","66.91","N/A","7.09","N/A","7","N/A","66.25","N/A","7.04142857142857","N/A","67.67","N/A","7.143333333333333","N/A"
"50","10","20","0","dry","4799","9","N/A","67.16","N/A","7","N/A","5","N/A","67.16","N/A","7.007999999999998","N/A","67.15","N/A","7","N/A","11","N/A","62.17","N/A","6.71","N/A","8","N/A","57.15","N/A","6.2275","N/A","75.57","N/A","8.003333333333334","N/A"
"50","10","20","0","dry","4814","5","N/A","67.89","N/A","7.06","N/A","2","N/A","67.89","N/A","7.0649999999999995","N/A","67.89","N/A","7.06","N/A","15","N/A","66.8","N/A","7.04","N/A","6","N/A","65.22","N/A","6.765000000000001","N/A","67.86","N/A","7.231111111111113","N/A"
"50","10","20","0","dry","4816","6.5","N/A","68.93","N/A","7.415","N/A","3.5","N/A","68.925","N/A","7.415","N/A","68.93","N/A","7.41375","N/A","13.5","N/A","66.62","N/A","7.055","N/A","6.5","N/A","68.65","N/A","7.373690476190477","N/A","64.7","N/A","6.758571428571428","N/A"
"50","10","20","0","dry","4836","6","N/A","73.23","N/A","8.19","N/A","5","N/A","73.23","N/A","8.19","N/A","73.18","N/A","8.18","N/A","14","N/A","67.66","N/A","7.27","N/A","8","N/A","64.83","N/A","6.896249999999999","N/A","71.42","N/A","7.771666666666666","N/A"
"50","10","20","0","dry","4857","8","N/A","66.68","N/A","6.824999999999999","N/A","6","N/A","66.68","N/A","6.823857142857143","N/A","66.68","N/A","6.819999999999999","N/A","12","N/A","66.97999999999999","N/A","7.125","N/A","5","N/A","69.215","N/A","7.286999999999999","N/A","65.39","N/A","7.005000000000001","N/A"
"50","10","20","0","dry","4870","8","N/A","63.52","N/A","7.16","N/A","1","N/A","63.52","N/A","7.16","N/A","63.52","N/A","7.162857142857144","N/A","12","N/A","63.76","N/A","6.79","N/A","7","N/A","59.92","N/A","6.4157142857142855","N/A","69.15","N/A","7.311999999999999","N/A"
"50","10","20","0","dry","4901","5","N/A","69.2","N/A","7.13","N/A","1","N/A","69.2","N/A","7.14","N/A","69.2","N/A","7.132499999999999","N/A","15","N/A","68.28","N/A","7.28","N/A","11","N/A","68.86","N/A","7.311818181818181","N/A","66.67","N/A","7.197500000000001","N/A"
"50","10","20","0","dry","4911","7","N/A","62.75","N/A","7.15","N/A","5","N/A","62.76","N/A","7.156000000000001","N/A","62.73","N/A","7.15","N/A","13","N/A","65.02","N/A","7.07","N/A","6","N/A","68.33","N/A","7.393333333333333","N/A","62.2","N/A","6.7871428571428565","N/A"
"50","10","20","0","dry","4912","7","N/A","70.54","N/A","7.22","N/A","4","N/A","70.53","N/A","7.225","N/A","70.54","N/A","7.213333333333334","N/A","13","N/A","70.11","N/A","7.42","N/A","7","N/A","70.78","N/A","7.501428571428572","N/A","69.34","N/A","7.314999999999999","N/A"
"50","10","20","0","dry","4917","8","N/A","62.05","N/A","6.26","N/A","3","N/A","62.05","N/A","6.26","N/A","62.05","N/A","6.26","N/A","12","N/A","65.65","N/A","7.1","N/A","9","N/A","67.95","N/A","7.387777777777777","N/A","58.76","N/A","6.223333333333334","N/A"
"50","10","20","0","dry","4927","10","N/A","62.82","N/A","7.12","N/A","5","N/A","62.82","N/A","7.12","N/A","62.82","N/A","7.12","N/A","10","N/A","65.87","N/A","7.13","N/A","6","N/A","67.96","N/A","7.238333333333333","N/A","62.75","N/A","6.96","N/A"
"50","10","20","0","dry","4929","7","N/A","62.17","N/A","7.05","N/A","1","N/A","62.18","N/A","7.05","N/A","62.17","N/A","7.05","N/A","13","N/A","65.05","N/A","7.12","N/A","9","N/A","64.03","N/A","7.046666666666666","N/A","67.33","N/A","7.290000000000001","N/A"
"50","10","20","0","dry","4938","6.5","N/A","64.57000000000001","N/A","7.28","N/A","3","N/A","64.58","N/A","7.281666666666667","N/A","64.565","N/A","7.275","N/A","13.5","N/A","68.92","N/A","7.415","N/A","6","N/A","68.58","N/A","7.414166666666667","N/A","69.29499999999999","N/A","7.415089285714286","N/A"
"50","10","20","0","dry","4942","8","N/A","57.59","N/A","6.35","N/A","4","N/A","57.59","N/A","6.3","N/A","57.58","N/A","6.4","N/A","12","N/A","70.71","N/A","7.6","N/A","5","N/A","73.51","N/A","7.84","N/A","68.71","N/A","7.434285714285713","N/A"
"50","10","20","0","dry","4944","7","N/A","65.27","N/A","7.31","N/A","3","N/A","65.27","N/A","7.31","N/A","65.27","N/A","7.31","N/A","13","N/A","68.93","N/A","7.42","N/A","6","N/A","65.92","N/A","7.126666666666666","N/A","71.5","N/A","7.672857142857143","N/A"
"50","10","20","0","dry","4947","7","N/A","67.02","N/A","7.04","N/A","2","N/A","67.04","N/A","7.04","N/A","67.02","N/A","7.04","N/A","13","N/A","65.78","N/A","6.98","N/A","8","N/A","68.53","N/A","7.3050000000000015","N/A","61.38","N/A","6.4479999999999995","N/A"
"50","10","20","0","dry","4949","8","N/A","68.8","N/A","7.15","N/A","7","N/A","68.8","N/A","7.15","N/A","68.8","N/A","7.15","N/A","12","N/A","68.04","N/A","7.18","N/A","9","N/A","69.11","N/A","7.29111111111111","N/A","64.81","N/A","6.866666666666666","N/A"
"50","10","20","0","dry","4952","9","N/A","57.08","N/A","6.38","N/A","4","N/A","57.08","N/A","6.38","N/A","57.07","N/A","6.38","N/A","11","N/A","65.79","N/A","7.04","N/A","4","N/A","62.38","N/A","6.780000000000001","N/A","67.74","N/A","7.181428571428573","N/A"
"50","10","20","0","dry","4954","5","N/A","63.91","N/A","7.22","N/A","1","N/A","63.92","N/A","7.22","N/A","63.91","N/A","7.22","N/A","15","N/A","69.88","N/A","7.54","N/A","6","N/A","71.55","N/A","7.633333333333334","N/A","68.77","N/A","7.475555555555556","N/A"
