"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"SocialDynamics.nlogo"
"Dry weather group runners vs solo runners and no spectators (5km)"
"04/27/2024 22:05:28:380 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"percentage-of-solo-runners","race-distance","number-of-runners","number-of-spectators","weather","[step]","(mean) total-runners-in-group","(std) total-runners-in-group","(mean) avg-group-runners-finish-time","(std) avg-group-runners-finish-time","(mean) avg-group-runners-speed","(std) avg-group-runners-speed","(mean) total-socially-suspectible-runners-in-group","(std) total-socially-suspectible-runners-in-group","(mean) socially-suspectible-group-runners-avg-finish-time","(std) socially-suspectible-group-runners-avg-finish-time","(mean) socially-suspectible-group-runners-avg-speed","(std) socially-suspectible-group-runners-avg-speed","(mean) non-socially-suspectible-group-runners-avg-finish-time","(std) non-socially-suspectible-group-runners-avg-finish-time","(mean) non-socially-suspectible-group-runners-avg-speed","(std) non-socially-suspectible-group-runners-avg-speed","(mean) total-solo-runners","(std) total-solo-runners","(mean) avg-solo-runner-finish-time","(std) avg-solo-runner-finish-time","(mean) avg-solo-runner-speed","(std) avg-solo-runner-speed","(mean) total-solo-socially-suspectible-runners","(std) total-solo-socially-suspectible-runners","(mean) socially-suspectible-solo-runners-avg-finish-time","(std) socially-suspectible-solo-runners-avg-finish-time","(mean) socially-suspectible-solo-runners-avg-speed","(std) socially-suspectible-solo-runners-avg-speed","(mean) non-socially-suspectible-solo-runners-avg-finish-time","(std) non-socially-suspectible-solo-runners-avg-finish-time","(mean) non-social-suspectible-solo-runners-avg-speed","(std) non-social-suspectible-solo-runners-avg-speed"
"50","5","20","0","dry","2021","9","N/A","32.94","N/A","7.03","N/A","2","N/A","32.95","N/A","7.03","N/A","32.93","N/A","7.030000000000001","N/A","11","N/A","31.41","N/A","6.47","N/A","6","N/A","32","N/A","6.6033333333333335","N/A","30.7","N/A","6.306","N/A"
"50","5","20","0","dry","2148","9","N/A","31.65","N/A","6.45","N/A","6","N/A","31.65","N/A","6.45","N/A","31.65","N/A","6.45","N/A","11","N/A","30.31","N/A","6.16","N/A","5","N/A","31.23","N/A","6.342","N/A","29.54","N/A","6","N/A"
"50","5","20","0","dry","2150","9","N/A","30.27","N/A","6.3149999999999995","N/A","3","N/A","30.27","N/A","6.3149999999999995","N/A","30.27","N/A","6.315","N/A","11","N/A","31.549999999999997","N/A","6.39","N/A","4.5","N/A","33.185","N/A","6.736666666666666","N/A","30.575","N/A","6.211527777777778","N/A"
"50","5","20","0","dry","2157","8","N/A","30.814999999999998","N/A","6.1850000000000005","N/A","3.5","N/A","30.814999999999998","N/A","6.1850000000000005","N/A","30.814999999999998","N/A","6.1850000000000005","N/A","12","N/A","30.335","N/A","6.22","N/A","6.5","N/A","29.915","N/A","6.109875000000001","N/A","30.74","N/A","6.317166666666667","N/A"
"50","5","20","0","dry","2176","6","N/A","32.91","N/A","7.05","N/A","4","N/A","32.92","N/A","7.05","N/A","32.91","N/A","7.05","N/A","14","N/A","32.78","N/A","6.77","N/A","6","N/A","33.7","N/A","7.006666666666665","N/A","32.09","N/A","6.58375","N/A"
"50","5","20","0","dry","2178","8","N/A","34.93","N/A","7.17","N/A","4","N/A","34.93","N/A","7.17","N/A","34.93","N/A","7.17","N/A","12","N/A","33.71","N/A","6.89","N/A","6","N/A","34.56","N/A","7.033333333333333","N/A","32.86","N/A","6.748333333333334","N/A"
"50","5","20","0","dry","2179","8","N/A","33.39","N/A","7.09","N/A","3","N/A","33.39","N/A","7.089999999999999","N/A","33.38","N/A","7.088","N/A","12","N/A","31.34","N/A","6.51","N/A","9","N/A","31","N/A","6.45888888888889","N/A","32.33","N/A","6.680000000000001","N/A"
"50","5","20","0","dry","2180","6","N/A","31.12","N/A","6.35","N/A","3","N/A","31.12","N/A","6.35","N/A","31.12","N/A","6.35","N/A","14","N/A","30.96","N/A","6.23","N/A","5","N/A","31.25","N/A","6.327999999999999","N/A","30.79","N/A","6.181111111111111","N/A"
"50","5","20","0","dry","2181","9","N/A","30.97","N/A","6.32","N/A","4","N/A","30.97","N/A","6.320000000000001","N/A","30.97","N/A","6.320000000000001","N/A","11","N/A","32.41","N/A","6.54","N/A","6","N/A","32.59","N/A","6.525","N/A","32.19","N/A","6.564000000000001","N/A"
"50","5","20","0","dry","2182","8","N/A","32.95","N/A","7.05","N/A","5","N/A","32.95","N/A","7.05","N/A","32.95","N/A","7.05","N/A","12","N/A","32.04","N/A","6.55","N/A","5","N/A","31.52","N/A","6.494","N/A","32.42","N/A","6.5928571428571425","N/A"
"50","5","20","0","dry","2183","6","N/A","31.58","N/A","6.44","N/A","4","N/A","31.58","N/A","6.44","N/A","31.58","N/A","6.44","N/A","14","N/A","30.18","N/A","6.13","N/A","10","N/A","29.19","N/A","5.977","N/A","32.65","N/A","6.499999999999999","N/A"
"50","5","20","0","dry","2186","10","N/A","31.82","N/A","6.49","N/A","4","N/A","31.82","N/A","6.49","N/A","31.82","N/A","6.49","N/A","10","N/A","30.13","N/A","6.19","N/A","8","N/A","29.38","N/A","6.055000000000001","N/A","33.13","N/A","6.755","N/A"
"50","5","20","0","dry","2192","9","N/A","36","N/A","7.32","N/A","3","N/A","36","N/A","7.320000000000001","N/A","36","N/A","7.319999999999999","N/A","11","N/A","31.93","N/A","6.5","N/A","8","N/A","31.55","N/A","6.4125","N/A","32.92","N/A","6.716666666666667","N/A"
"50","5","20","0","dry","2203","5","N/A","32.35","N/A","7","N/A","3","N/A","32.35","N/A","7","N/A","32.35","N/A","7","N/A","15","N/A","31.5","N/A","6.57","N/A","9","N/A","31.66","N/A","6.658888888888888","N/A","31.26","N/A","6.446666666666666","N/A"
"50","5","20","0","dry","2206","9","N/A","31.98","N/A","6.52","N/A","3","N/A","31.98","N/A","6.52","N/A","31.98","N/A","6.52","N/A","11","N/A","30.12","N/A","6.14","N/A","6","N/A","29.77","N/A","6.101666666666666","N/A","30.53","N/A","6.194000000000001","N/A"
"50","5","20","0","dry","2207","8","N/A","31.13","N/A","6.1","N/A","5","N/A","31.13","N/A","6.1","N/A","31.13","N/A","6.1","N/A","12","N/A","30.98","N/A","6.27","N/A","5","N/A","30.87","N/A","6.296000000000001","N/A","31.06","N/A","6.254285714285715","N/A"
"50","5","20","0","dry","2208","7","N/A","31","N/A","6.12","N/A","4","N/A","31","N/A","6.12","N/A","31","N/A","6.12","N/A","13","N/A","32.5","N/A","6.58","N/A","6","N/A","33.72","N/A","6.834999999999999","N/A","31.46","N/A","6.359999999999999","N/A"
"50","5","20","0","dry","2209","7","N/A","31.65","N/A","6.46","N/A","4","N/A","31.65","N/A","6.46","N/A","31.65","N/A","6.460000000000002","N/A","13","N/A","30.42","N/A","6.23","N/A","9","N/A","30.35","N/A","6.216666666666667","N/A","30.59","N/A","6.245","N/A"
"50","5","20","0","dry","2210","10","N/A","35.55","N/A","7.22","N/A","3","N/A","35.55","N/A","7.223333333333334","N/A","35.55","N/A","7.2214285714285715","N/A","10","N/A","31.95","N/A","6.46","N/A","4","N/A","33.5","N/A","6.77","N/A","30.92","N/A","6.246666666666666","N/A"
"50","5","20","0","dry","2215","10","N/A","30.77","N/A","6.15","N/A","3","N/A","30.77","N/A","6.15","N/A","30.77","N/A","6.15","N/A","10","N/A","30.14","N/A","6.08","N/A","4","N/A","32.26","N/A","6.4875","N/A","28.73","N/A","5.803333333333334","N/A"
"50","5","20","0","dry","2221","10","N/A","30.45","N/A","6.17","N/A","6","N/A","30.45","N/A","6.17","N/A","30.45","N/A","6.17","N/A","10","N/A","33.23","N/A","6.77","N/A","4","N/A","34.9","N/A","7.047499999999999","N/A","32.11","N/A","6.58","N/A"
"50","5","20","0","dry","2228","9","N/A","30.64","N/A","6.25","N/A","3","N/A","30.64","N/A","6.25","N/A","30.63","N/A","6.25","N/A","11","N/A","30.17","N/A","6.12","N/A","7","N/A","28.71","N/A","5.852857142857144","N/A","32.72","N/A","6.5975","N/A"
"50","5","20","0","dry","2233","8","N/A","31.07","N/A","6.11","N/A","4","N/A","31.07","N/A","6.1125","N/A","31.07","N/A","6.11","N/A","12","N/A","29.66","N/A","6.02","N/A","5","N/A","28.92","N/A","5.9159999999999995","N/A","30.19","N/A","6.094285714285713","N/A"
"50","5","20","0","dry","2234","8","N/A","31.02","N/A","6.32","N/A","6","N/A","31.02","N/A","6.320000000000001","N/A","31.02","N/A","6.320000000000001","N/A","12","N/A","30.31","N/A","6.2","N/A","5","N/A","30.35","N/A","6.212","N/A","30.28","N/A","6.182857142857142","N/A"
"50","5","20","0","dry","2236","9","N/A","31.48","N/A","6.42","N/A","4","N/A","31.48","N/A","6.42","N/A","31.48","N/A","6.42","N/A","11","N/A","32.28","N/A","6.6","N/A","3","N/A","36.04","N/A","7.343333333333333","N/A","30.87","N/A","6.316249999999999","N/A"
"50","5","20","0","dry","2237","10","N/A","31.47","N/A","6.42","N/A","6","N/A","31.47","N/A","6.42","N/A","31.47","N/A","6.42","N/A","10","N/A","32.2","N/A","6.53","N/A","3","N/A","30.94","N/A","6.109999999999999","N/A","32.74","N/A","6.7057142857142855","N/A"
"50","5","20","0","dry","2238","7","N/A","33.71","N/A","7.12","N/A","6","N/A","33.71","N/A","7.12","N/A","33.7","N/A","7.12","N/A","13","N/A","32.65","N/A","6.79","N/A","8","N/A","32.65","N/A","6.8325000000000005","N/A","32.64","N/A","6.712","N/A"
"50","5","20","0","dry","2245","8","N/A","31.43","N/A","6.42","N/A","5","N/A","31.43","N/A","6.42","N/A","31.43","N/A","6.42","N/A","12","N/A","32.88","N/A","6.72","N/A","8","N/A","32.38","N/A","6.645","N/A","33.88","N/A","6.8725000000000005","N/A"
"50","5","20","0","dry","2268","10","N/A","32.05","N/A","6.54","N/A","5","N/A","32.06","N/A","6.54","N/A","32.05","N/A","6.54","N/A","10","N/A","33.79","N/A","6.92","N/A","6","N/A","35.01","N/A","7.19","N/A","31.96","N/A","6.525","N/A"
"50","5","20","0","dry","2281","9","N/A","30.4","N/A","6.19","N/A","5","N/A","30.4","N/A","6.19","N/A","30.4","N/A","6.19","N/A","11","N/A","32.82","N/A","6.69","N/A","5","N/A","31.92","N/A","6.576","N/A","33.57","N/A","6.78","N/A"
"50","5","20","0","dry","2286","10","N/A","31.2","N/A","6.1","N/A","5","N/A","31.2","N/A","6.1","N/A","31.2","N/A","6.1","N/A","10","N/A","30.96","N/A","6.46","N/A","6","N/A","31.74","N/A","6.6033333333333335","N/A","29.78","N/A","6.25","N/A"
